Keycode,period,ECHO_PREP_CT_FEMININO_UNKNOWN AGE,ECHO_PREP_CT_15_19_FEMININO,ECHO_PREP_CT_20_24_FEMININO,ECHO_PREP_CT_25_29_FEMININO,ECHO_PREP_CT_30_34_FEMININO,ECHO_PREP_CT_35_39_FEMININO,ECHO_PREP_CT_40_44_FEMININO,ECHO_PREP_CT_45_49_FEMININO,ECHO_PREP_CT_50_FEMININO,ECHO_PREP_CT_MASCULINO_UNKNOWN AGE,ECHO_PREP_CT_15_19_MASCULINO,ECHO_PREP_CT_20_24_MASCULINO,ECHO_PREP_CT_25_29_MASCULINO,ECHO_PREP_CT_30_34_MASCULINO,ECHO_PREP_CT_35_39_MASCULINO,ECHO_PREP_CT_40_44_MASCULINO,ECHO_PREP_CT_45_49_MASCULINO,ECHO_PREP_CT_50_MASCULINO,ECHO MOZ | PREP_Menos de 3 meses desde o inicio do PrEP,ECHO_PREP_CT_KP_PID(PWID),ECHO_PREP_CT_KP_HSH,ECHO_PREP_CT_KP_TG,ECHO_PREP_CT_KP_MTS(FSW),ECHO_PREP_CT_KP_REC,ECHO MOZ | PREP_CT Test Result (Negative 3 months),ECHO MOZ | PREP_CT Test Result (Other 3 months),ECHO MOZ | PREP_CT Test Result (Positive 3 months),"ECHO MOZ | PREP_Numero de utentes que voltaram para qualquer visita de seguimento apos 30 dias, KP Mullheres Lactantes","ECHO MOZ | PREP_Actualmente em PrEP (Mês em referencia): PrEP_CURR, KP Gravida"
200499,2022Q1,0,2,3,2,3,0,1,1,3,0,1,2,1,0,0,0,0,3,,,,,1,,,,,,
340078,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
338288,2022Q1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,,,
201696,2022Q1,0,6,13,8,11,0,3,1,1,0,4,10,9,5,2,3,0,1,0,0,0,0,12,0,0,0,0,,
360175,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200527,2022Q1,0,5,3,3,2,1,1,0,0,0,0,1,2,3,2,2,1,0,0,0,0,0,1,0,17,0,0,,
200605,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200574,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200535,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200462,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200625,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200447,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
444444,2022Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200617,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200472,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200147,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200588,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
201698,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200032,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200615,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200463,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200604,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200542,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200538,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200561,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
321326,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200173,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200522,2022Q1,0,0,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,8,,,,
200023,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200536,2022Q1,0,1,4,2,5,4,6,2,1,0,0,0,0,0,1,0,4,3,0,0,0,0,1,0,0,0,0,,
200497,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200152,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200612,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200548,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200192,2022Q1,0,2,0,5,3,4,0,0,1,0,0,3,9,6,6,2,2,3,,,,,,,5,,,,
200566,2022Q1,0,1,3,0,3,1,3,1,0,1,1,1,1,2,0,1,0,2,,,,,2,,29,,,,
201028,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
338290,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200559,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200454,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200618,2022Q1,0,3,4,1,2,1,0,0,0,0,0,4,2,1,0,0,1,0,,,,,,,,,,,
201110,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
