Keycode,period,"echo_PrEP_NEW_N_Age_Sex_v2 | 15-19, Female","echo_PrEP_NEW_N_Age_Sex_v2 | 20-24, Female","echo_PrEP_NEW_N_Age_Sex_v2 | 25-29, Female","echo_PrEP_NEW_N_Age_Sex_v2 | 30-34, Female","echo_PrEP_NEW_N_Age_Sex_v2 | 35-39, Female","echo_PrEP_NEW_N_Age_Sex_v2 | 40-44, Female","echo_PrEP_NEW_N_Age_Sex_v2 | 45-49, Female","echo_PrEP_NEW_N_Age_Sex_v2 | 50+, Female","echo_PrEP_NEW_N_Age_Sex_v2 | Unknown Age, Female","echo_PrEP_NEW_N_Age_Sex_v2 | 15-19, Male","echo_PrEP_NEW_N_Age_Sex_v2 | 20-24, Male","echo_PrEP_NEW_N_Age_Sex_v2 | 25-29, Male","echo_PrEP_NEW_N_Age_Sex_v2 | 30-34, Male","echo_PrEP_NEW_N_Age_Sex_v2 | 35-39, Male","echo_PrEP_NEW_N_Age_Sex_v2 | 40-44, Male","echo_PrEP_NEW_N_Age_Sex_v2 | 45-49, Male","echo_PrEP_NEW_N_Age_Sex_v2 | 50+, Male","echo_PrEP_NEW_N_Age_Sex_v2 | Unknown Age, Male",echo_PrEP_NEW_N_KeyPopAbr | PWID,echo_PrEP_NEW_N_KeyPopAbr | MSM,echo_PrEP_NEW_N_KeyPopAbr | TG,echo_PrEP_NEW_N_KeyPopAbr | FSW,echo_PrEP_NEW_N_KeyPopAbr | People in prisons and other enclosed settings,ECHO MOZ | PREP_Número de Utentes que Iniciaram o PrEP pela primeira vez ( KP - PrEP_NEW) AHDJ,ECHO MOZ | PREP_Número de Utentes que Iniciaram o PrEP pela primeira vez ( KP - PrEP_NEW) AR,ECHO MOZ | PREP_Número de Utentes que Iniciaram o PrEP pela primeira vez ( KP - PrEP_NEW) Mulheres Gravidas / Lactantes,ECHO MOZ | PREP_Número de Utentes que Iniciaram o PrEP pela primeira vez ( KP - PrEP_NEW) SD,ECHO MOZ | PREP_Número de Utentes que Iniciaram o PrEP pela primeira vez ( KP - PrEP_NEW) HTS,ECHO MOZ | PREP_Número de Utentes que Iniciaram o PrEP pela primeira vez ( KP - PrEP_NEW) CLC,ECHO MOZ | PREP_Número de Utentes que Iniciaram o PrEP pela primeira vez ( KP - PrEP_NEW) MIL,ECHO MOZ | PREP_Número de Utentes que Iniciaram o PrEP pela primeira vez ( KP - PrEP_NEW) HSH,ECHO MOZ | PREP_Número de Utentes que Iniciaram o PrEP pela primeira vez ( KP - PrEP_NEW) MIN,ECHO MOZ | PREP_Número de Utentes que Iniciaram o PrEP pela primeira vez ( KP - PrEP_NEW) MTS,ECHO MOZ | PREP_Número de Utentes que Iniciaram o PrEP pela primeira vez ( KP - PrEP_NEW) PWID,ECHO MOZ | PREP_Número de Utentes que Iniciaram o PrEP pela primeira vez ( KP - PrEP_NEW) REC,ECHO MOZ | PREP_Número de Utentes que Iniciaram o PrEP pela primeira vez ( KP - PrEP_NEW) TG (Trans Gender)
200552,2022Q1,29,47,44,21,14,7,3,4,0,1,10,9,5,8,3,4,4,0,1,0,0,23,0,27,10,52,99,0,0,0,0,1,23,1,0,0
200517,2022Q1,10,34,36,10,12,4,1,,,1,7,29,7,6,3,2,6,,,,,19,1,,21,6,118,3,,,,,19,,1,
200527,2022Q1,39,53,34,18,7,0,0,0,0,15,15,15,6,7,1,6,2,0,0,0,0,24,0,20,48,77,22,0,0,3,0,14,24,0,0,0
200502,2022Q1,2,14,24,17,3,0,0,1,0,0,1,2,7,4,2,1,2,0,0,0,1,24,0,0,2,16,28,0,6,0,0,3,24,0,0,1
200500,2022Q1,56,124,65,28,15,1,4,0,0,1,8,7,8,4,2,0,4,0,0,0,0,255,0,1,12,21,32,0,1,2,0,2,255,0,0,0
200937,2022Q1,19,90,59,41,14,5,0,1,0,9,31,21,17,10,3,2,6,0,1,9,1,116,0,23,48,19,99,0,8,0,9,4,116,1,0,1
338288,2022Q1,4,13,8,4,6,1,1,2,,7,27,17,25,11,6,3,1,,0,0,2,22,40,5,7,0,33,0,1,0,0,20,22,0,40,2
200528,2022Q1,12,55,44,22,5,4,2,2,0,0,6,5,16,11,8,2,2,0,0,0,0,79,0,8,0,5,97,0,2,0,0,5,79,0,0,0
200563,2022Q1,24,47,22,17,9,5,2,1,0,1,5,11,7,10,2,2,2,0,0,0,0,89,0,14,0,9,38,0,9,0,0,7,89,0,0,0
200938,2022Q1,20,68,62,60,41,17,3,3,0,18,44,29,16,14,8,9,8,0,0,5,0,194,1,69,1,2,134,0,5,2,5,7,194,0,1,0
200936,2022Q1,65,147,135,67,28,7,1,2,0,10,29,48,22,15,19,7,1,0,0,15,0,81,1,30,10,248,159,11,43,1,15,1,81,0,1,0
200549,2022Q1,4,5,12,4,5,3,1,0,0,0,5,6,3,4,5,0,6,0,0,0,0,18,0,0,0,0,38,0,2,0,0,5,18,0,0,0
200521,2022Q1,1,8,9,5,3,2,0,3,0,0,4,3,4,7,6,0,8,0,0,0,0,11,0,3,0,3,45,0,0,0,0,1,11,0,0,0
200524,2022Q1,3,21,26,18,3,0,4,1,0,0,6,8,10,5,6,0,0,0,0,0,0,35,0,3,0,0,61,0,0,0,0,10,35,0,0,0
200499,2022Q1,27,79,96,49,38,16,4,9,,59,119,93,61,36,32,13,16,,,10,1,73,10,38,224,10,307,49,3,,10,22,73,,10,1
200531,2022Q1,67,91,82,17,6,7,2,3,,2,24,52,12,12,3,2,7,,,2,,29,,,34,100,186,38,,,2,,29,,,
398330,2022Q1,15,30,28,18,3,4,1,0,0,1,6,7,4,5,0,2,2,0,0,0,0,4,0,3,19,52,48,0,0,0,0,0,4,0,0,0
200522,2022Q1,15,19,30,35,14,2,2,1,,3,7,30,18,31,5,6,8,,,5,6,6,,,25,,149,,,,5,4,6,,,6
200525,2022Q1,34,228,255,82,30,20,0,2,0,22,100,90,42,27,14,3,4,,,12,5,154,,,95,276,290,117,,,12,4,154,,,5
