Keycode,period,"echo_TX_TB_D_Age_Sex_TBScreen_ART_HIV | <15, Female, TB Screen - Negative, Life-long ART, Already, Positive","echo_TX_TB_D_Age_Sex_TBScreen_ART_HIV | <15, Female, TB Screen - Negative, Life-long ART, New, Positive","echo_TX_TB_D_Age_Sex_TBScreen_ART_HIV | <15, Female, TB Screen - Positive, Life-long ART, Already, Positive","echo_TX_TB_D_Age_Sex_TBScreen_ART_HIV | <15, Female, TB Screen - Positive, Life-long ART, New, Positive","echo_TX_TB_D_Age_Sex_TBScreen_ART_HIV | 15+, Female, TB Screen - Negative, Life-long ART, Already, Positive","echo_TX_TB_D_Age_Sex_TBScreen_ART_HIV | 15+, Female, TB Screen - Negative, Life-long ART, New, Positive","echo_TX_TB_D_Age_Sex_TBScreen_ART_HIV | 15+, Female, TB Screen - Positive, Life-long ART, Already, Positive","echo_TX_TB_D_Age_Sex_TBScreen_ART_HIV | 15+, Female, TB Screen - Positive, Life-long ART, New, Positive","echo_TX_TB_D_Age_Sex_TBScreen_ART_HIV | <15, Male, TB Screen - Negative, Life-long ART, Already, Positive","echo_TX_TB_D_Age_Sex_TBScreen_ART_HIV | <15, Male, TB Screen - Negative, Life-long ART, New, Positive","echo_TX_TB_D_Age_Sex_TBScreen_ART_HIV | <15, Male, TB Screen - Positive, Life-long ART, Already, Positive","echo_TX_TB_D_Age_Sex_TBScreen_ART_HIV | <15, Male, TB Screen - Positive, Life-long ART, New, Positive","echo_TX_TB_D_Age_Sex_TBScreen_ART_HIV | 15+, Male, TB Screen - Negative, Life-long ART, Already, Positive","echo_TX_TB_D_Age_Sex_TBScreen_ART_HIV | 15+, Male, TB Screen - Negative, Life-long ART, New, Positive","echo_TX_TB_D_Age_Sex_TBScreen_ART_HIV | 15+, Male, TB Screen - Positive, Life-long ART, Already, Positive","echo_TX_TB_D_Age_Sex_TBScreen_ART_HIV | 15+, Male, TB Screen - Positive, Life-long ART, New, Positive","echo_TX_TB_D_Age_Sex_TBScreen_ART_HIV | Unknown Age, Female, TB Screen - Negative, Life-long ART, New, Positive","echo_TX_TB_D_Age_Sex_TBScreen_ART_HIV | Unknown Age, Female, TB Screen - Positive, Life-long ART, Already, Positive","echo_TX_TB_D_Age_Sex_TBScreen_ART_HIV | Unknown Age, Female, TB Screen - Positive, Life-long ART, New, Positive","echo_TX_TB_D_Age_Sex_TBScreen_ART_HIV | Unknown Age, Male, TB Screen - Negative, Life-long ART, Already, Positive","echo_TX_TB_D_Age_Sex_TBScreen_ART_HIV | Unknown Age, Male, TB Screen - Negative, Life-long ART, New, Positive","echo_TX_TB_D_Age_Sex_TBScreen_ART_HIV | Unknown Age, Male, TB Screen - Positive, Life-long ART, Already, Positive","echo_TX_TB_D_Age_Sex_TBScreen_ART_HIV | Unknown Age, Male, TB Screen - Positive, Life-long ART, New, Positive","echo_TX_TB_D_Age_Sex_TBScreen_ART_HIV | Unknown Age, Female, TB Screen - Negative, Life-long ART, Already, Positive",echo_TX_TB_D_Specimen_Sent_HIVStatus | Positive,echo_TX_TB_D_Specimen_Return_HIVStatus | Positive,"echo_TX_TB_D_TB_Test_Type | Other, Positive","echo_TX_TB_D_TB_Test_Type | Smear, Positive","echo_TX_TB_D_TB_Test_Type | Xpert, Positive","echo_TX_TB_N_Age_Sex_NewExistingArt | <15, Female, Life-long ART, Already, Positive","echo_TX_TB_N_Age_Sex_NewExistingArt | <15, Female, Life-long ART, New, Positive","echo_TX_TB_N_Age_Sex_NewExistingArt | <15, Male, Life-long ART, Already, Positive","echo_TX_TB_N_Age_Sex_NewExistingArt | <15, Male, Life-long ART, New, Positive","echo_TX_TB_N_Age_Sex_NewExistingArt | 15+, Female, Life-long ART, Already, Positive","echo_TX_TB_N_Age_Sex_NewExistingArt | 15+, Female, Life-long ART, New, Positive","echo_TX_TB_N_Age_Sex_NewExistingArt | 15+, Male, Life-long ART, Already, Positive","echo_TX_TB_N_Age_Sex_NewExistingArt | 15+, Male, Life-long ART, New, Positive","echo_TX_TB_N_Age_Sex_NewExistingArt | Unknown Age, Female, Life-long ART, Already, Positive","echo_TX_TB_N_Age_Sex_NewExistingArt | Unknown Age, Male, Life-long ART, New, Positive","echo_TX_TB_N_Age_Sex_NewExistingArt | Unknown Age, Male, Life-long ART, Already, Positive","echo_TX_TB_N_Age_Sex_NewExistingArt | Unknown Age, Female, Life-long ART, New, Positive"
200499,2022Q1,149,7,4,3,3442,245,86,43,128,5,5,1,1557,121,32,40,0,0,0,0,0,0,0,0,30,1,0,26,4,0,0,1,0,13,8,4,2,0,0,0,0
340078,2022Q1,22,3,0,0,630,58,8,7,18,1,0,0,252,36,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0
338288,2022Q1,16,3,0,0,446,46,6,0,13,1,0,0,169,45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
201696,2022Q1,136,2,9,2,2771,203,72,37,115,7,3,4,1085,81,39,27,0,0,0,0,0,0,0,0,46,3,0,13,33,0,1,0,2,8,6,12,8,0,0,0,0
360175,2022Q1,19,4,0,0,314,63,6,1,10,4,0,0,72,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200527,2022Q1,29,3,0,0,596,51,16,3,30,1,0,0,234,28,12,1,0,0,0,0,0,0,0,0,3,2,0,0,3,0,0,0,0,5,2,2,0,0,0,0,0
200605,2022Q1,24,6,2,0,403,38,31,1,18,5,4,1,180,26,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200574,2022Q1,71,6,4,0,1065,61,18,5,51,4,1,1,371,40,7,7,0,0,0,0,0,0,0,0,10,1,0,6,4,1,0,1,0,2,2,3,5,0,0,0,0
200535,2022Q1,14,0,1,1,305,41,22,4,10,1,1,0,90,31,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
200462,2022Q1,7,0,1,0,175,25,14,4,7,1,0,0,120,24,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
200625,2022Q1,28,6,2,0,629,59,11,2,28,4,0,0,254,21,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
200447,2022Q1,32,1,1,0,488,33,24,8,19,2,2,0,278,20,5,5,0,0,0,0,0,0,0,0,13,7,0,8,5,0,0,0,0,2,0,0,1,0,0,0,0
200617,2022Q1,29,4,3,1,442,62,10,9,30,6,1,1,128,39,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,2,7,0,5,0,0,0,0
200472,2022Q1,11,1,0,0,293,65,23,2,5,0,1,0,170,35,6,6,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,5,0,0,1,0,0,0,0
200147,2022Q1,20,2,0,0,217,30,6,2,8,1,0,1,112,16,5,2,0,0,0,0,0,0,0,0,3,1,0,2,1,0,0,0,1,4,2,4,2,0,0,0,0
200588,2022Q1,20,2,0,0,392,123,3,1,16,4,0,0,226,71,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
201698,2022Q1,14,4,1,0,413,90,3,3,12,1,0,0,112,39,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0
200032,2022Q1,13,0,0,1,415,67,0,5,6,1,0,0,217,55,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0
200615,2022Q1,33,7,2,1,797,112,41,10,34,4,0,1,228,40,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,3,3,4,0,0,0,0
200463,2022Q1,49,7,0,0,1267,85,35,6,45,2,0,2,621,56,20,8,0,0,0,0,0,0,0,0,13,2,0,1,12,0,0,0,0,5,1,3,2,0,0,0,0
200604,2022Q1,18,3,1,0,402,27,9,3,13,1,1,0,118,26,1,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
200542,2022Q1,21,1,1,2,501,29,22,21,20,0,0,1,248,29,7,18,0,0,0,0,0,0,0,0,55,0,0,0,55,0,0,0,0,2,3,3,3,0,0,0,0
200538,2022Q1,22,1,2,0,512,51,24,4,22,6,0,0,152,29,6,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0
200561,2022Q1,23,3,0,0,485,71,7,5,18,2,0,1,167,50,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0
