dataset,datim_dataelement,shortname,code,dataelement,dataelementuid,categoryoptioncombo,categoryoptioncombocode,categoryoptioncombouid
MER Results: Facility Based,"CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.","CXCA_SCRN (N, DSD, Age/Sex/HIV/Scrn/Visit)",CXCA_SCRN_N_DSD_Age_Sex_HIV_Scrn_Visit,"CXCA_SCRN_N_Age_Sex_HIV_Scrn_Visit | 15-19, Female, Positive, Cervical Cancer Screened - First Time, Cervical Cancer - Negative",XboLlTkc4Av,"15-19, Female, Positive, Cervical Cancer Screened - First Time, Cervical Cancer - Negative",dh4TQ68p2SC,dh4TQ68p2SC
MER Results: Facility Based,"CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.","CXCA_SCRN (N, DSD, Age/Sex/HIV/Scrn/Visit)",CXCA_SCRN_N_DSD_Age_Sex_HIV_Scrn_Visit,"CXCA_SCRN_N_Age_Sex_HIV_Scrn_Visit | 15-19, Female, Positive, Cervical Cancer Screened - First Time, Cervical Cancer - Positive",XboLlTkc4Av,"15-19, Female, Positive, Cervical Cancer Screened - First Time, Cervical Cancer - Positive",fJ4uotAMsvK,fJ4uotAMsvK
MER Results: Facility Based,"CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.","CXCA_SCRN (N, DSD, Age/Sex/HIV/Scrn/Visit)",CXCA_SCRN_N_DSD_Age_Sex_HIV_Scrn_Visit,"CXCA_SCRN_N_Age_Sex_HIV_Scrn_Visit | 15-19, Female, Positive, Cervical Cancer Screened - First Time, Cervical Cancer - Suspected",XboLlTkc4Av,"15-19, Female, Positive, Cervical Cancer Screened - First Time, Cervical Cancer - Suspected",nI9rG3vPWQz,nI9rG3vPWQz
MER Results: Facility Based,"CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.","CXCA_SCRN (N, DSD, Age/Sex/HIV/Scrn/Visit)",CXCA_SCRN_N_DSD_Age_Sex_HIV_Scrn_Visit,"CXCA_SCRN_N_Age_Sex_HIV_Scrn_Visit | 15-19, Female, Positive, Cervical Cancer Screened - Follow Up, Cervical Cancer - Negative",XboLlTkc4Av,"15-19, Female, Positive, Cervical Cancer Screened - Follow Up, Cervical Cancer - Negative",vTXvoz46XKy,vTXvoz46XKy
MER Results: Facility Based,"CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.","CXCA_SCRN (N, DSD, Age/Sex/HIV/Scrn/Visit)",CXCA_SCRN_N_DSD_Age_Sex_HIV_Scrn_Visit,"CXCA_SCRN_N_Age_Sex_HIV_Scrn_Visit | 15-19, Female, Positive, Cervical Cancer Screened - Follow Up, Cervical Cancer - Positive",XboLlTkc4Av,"15-19, Female, Positive, Cervical Cancer Screened - Follow Up, Cervical Cancer - Positive",FNkgb5PwxEL,FNkgb5PwxEL
MER Results: Facility Based,"CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.","CXCA_SCRN (N, DSD, Age/Sex/HIV/Scrn/Visit)",CXCA_SCRN_N_DSD_Age_Sex_HIV_Scrn_Visit,"CXCA_SCRN_N_Age_Sex_HIV_Scrn_Visit | 15-19, Female, Positive, Cervical Cancer Screened - Follow Up, Cervical Cancer - Suspected",XboLlTkc4Av,"15-19, Female, Positive, Cervical Cancer Screened - Follow Up, Cervical Cancer - Suspected",wIDT7S8yul9,wIDT7S8yul9
MER Results: Facility Based,"CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.","CXCA_SCRN (N, DSD, Age/Sex/HIV/Scrn/Visit)",CXCA_SCRN_N_DSD_Age_Sex_HIV_Scrn_Visit,"CXCA_SCRN_N_Age_Sex_HIV_Scrn_Visit | 15-19, Female, Positive, Cervical Cancer Screened - Rescreened, Cervical Cancer - Negative",XboLlTkc4Av,"15-19, Female, Positive, Cervical Cancer Screened - Rescreened, Cervical Cancer - Negative",d5py8JDlLGK,d5py8JDlLGK
MER Results: Facility Based,"CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.","CXCA_SCRN (N, DSD, Age/Sex/HIV/Scrn/Visit)",CXCA_SCRN_N_DSD_Age_Sex_HIV_Scrn_Visit,"CXCA_SCRN_N_Age_Sex_HIV_Scrn_Visit | 15-19, Female, Positive, Cervical Cancer Screened - Rescreened, Cervical Cancer - Positive",XboLlTkc4Av,"15-19, Female, Positive, Cervical Cancer Screened - Rescreened, Cervical Cancer - Positive",BvS7Re5cqaR,BvS7Re5cqaR
MER Results: Facility Based,"CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.","CXCA_SCRN (N, DSD, Age/Sex/HIV/Scrn/Visit)",CXCA_SCRN_N_DSD_Age_Sex_HIV_Scrn_Visit,"CXCA_SCRN_N_Age_Sex_HIV_Scrn_Visit | 15-19, Female, Positive, Cervical Cancer Screened - Rescreened, Cervical Cancer - Suspected",XboLlTkc4Av,"15-19, Female, Positive, Cervical Cancer Screened - Rescreened, Cervical Cancer - Suspected",cd8dhsMl4u8,cd8dhsMl4u8
MER Results: Facility Based,"CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.","CXCA_SCRN (N, DSD, Age/Sex/HIV/Scrn/Visit)",CXCA_SCRN_N_DSD_Age_Sex_HIV_Scrn_Visit,"CXCA_SCRN_N_Age_Sex_HIV_Scrn_Visit | 20-24, Female, Positive, Cervical Cancer Screened - First Time, Cervical Cancer - Positive",XboLlTkc4Av,"20-24, Female, Positive, Cervical Cancer Screened - First Time, Cervical Cancer - Negative",pdCeAB4EYYM,pdCeAB4EYYM
