Keycode,orgunitlevel2,orgunitlevel3,dhis_organisationunitid,dhis_organisationunitname,datim_organisationunitid,datim_organisationunitname,period,ECHO_PREP_CT_15_19_FEMININO,ECHO_PREP_CT_20_24_FEMININO,ECHO_PREP_CT_25_29_FEMININO,ECHO_PREP_CT_30_34_FEMININO,ECHO_PREP_CT_35_39_FEMININO,ECHO_PREP_CT_40_44_FEMININO,ECHO_PREP_CT_45_49_FEMININO,ECHO_PREP_CT_50_FEMININO,ECHO_PREP_CT_MASCULINO_UNKNOWN AGE,ECHO_PREP_CT_15_19_MASCULINO,ECHO_PREP_CT_20_24_MASCULINO,ECHO_PREP_CT_25_29_MASCULINO,ECHO_PREP_CT_30_34_MASCULINO,ECHO_PREP_CT_35_39_MASCULINO,ECHO_PREP_CT_40_44_MASCULINO,ECHO_PREP_CT_45_49_MASCULINO,ECHO_PREP_CT_50_MASCULINO,ECHO_PREP_CT_FEMININO_UNKNOWN AGE,ECHO_PREP_CT_KP_PID(PWID),ECHO_PREP_CT_KP_HSH,ECHO_PREP_CT_KP_TG,ECHO_PREP_CT_KP_MTS(FSW),ECHO_PREP_CT_KP_REC,ECHO_PREP_CT_KP_AHDJ,ECHO_PREP_CT_KP_AR,ECHO_PREP_CT_KP_CLC,ECHO_PREP_CT_KP_HTS,ECHO_PREP_CT_KP_MIL,ECHO_PREP_CT_KP_MIN,ECHO_PREP_CT_KP_SD,ECHO_PREP_CT_KP_Mulheres Gravidas,ECHO_PREP_CT_KP_Mulheres Lactantes,ECHO MOZ | PREP_CT Test Result (Positive),ECHO MOZ | PREP_CT Test Result (Negative),ECHO MOZ | PREP_CT Test Result (Other)
200549,Manica,Barue,GsYcZ9h9BUK,CS Nhassacara,Z6ZZLw50mAM,Nhassacara CS,2022Q3,0.0,2.0,8.0,4,5.0,3.0,0.0,0.0,,0.0,3.0,4.0,2.0,2.0,2.0,0.0,3.0,,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,28,0.0,0.0,0,10,72
200521,Manica,Barue,d3aFvsvQ7O2,CS Nhazonia,Nv5WX50ktwr,Nhazonia CS,2022Q3,0.0,0.0,2.0,0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0,7,3
200936,Manica,Barue,omMGWeMjO27,HD Catandica,qiBueINJbti,Catandica HD,2022Q3,40.0,93.0,54.0,25,13.0,13.0,1.0,2.0,,16.0,28.0,20.0,23.0,8.0,15.0,4.0,0.0,,0.0,32.0,0.0,104.0,0.0,41.0,0.0,36.0,0.0,4.0,0.0,79,26.0,0.0,0,159,12
200524,Manica,Barue,xpFEJzy6IXt,CS Nhampassa,VSHfWQyhzUu,Nhampassa CS,2022Q3,,1.0,,1,2.0,,,,,,,1.0,1.0,1.0,2.0,,,,,,,2.0,,,,,,,2.0,5,,,0,0,1
200552,Manica,Guro,X8TLq4JNXju,CS Guro-Sede,VsFXXXagVmp,Guro - Sede CS,2022Q3,4.0,18.0,17.0,12,5.0,6.0,3.0,1.0,,,6.0,5.0,3.0,5.0,2.0,2.0,3.0,,,,,13.0,,4.0,13.0,,,,2.0,58,1.0,1.0,0,11,11
200532,Manica,Vanduzi,goKXBs7N5B8,CS IAC,yIcfnuZhejK,IAC CS,2022Q3,0.0,6.0,3.0,1,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,2.0,4.0,2.0,0.0,0.0,0.0,3,0.0,0.0,0,42,4
200536,Manica,Machaze,e3XMm8h8pJ3,CS Chitobe,FmAQ159jI3w,Chitobe CS,2022Q3,0.0,4.0,12.0,5,7.0,5.0,5.0,1.0,,0.0,0.0,1.0,2.0,0.0,1.0,4.0,1.0,,0.0,0.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,36,0.0,0.0,1,39,19
200557,Manica,Machaze,HZVnPphSXDJ,CS Save,ZifoCg4OvIj,Save CS,2022Q3,0.0,2.0,0.0,0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0,15,30
200566,Manica,Mossurize,pdtUKo1EQzR,CS Dacata,yYG52aLO1GK,Dacata CS,2022Q3,,1.0,3.0,4,8.0,5.0,1.0,1.0,,,,,,3.0,,2.0,3.0,,,,,11.0,,,,,,,,20,,,0,16,7
200939,Manica,Mossurize,A4fQVrJD7Zd,HD Espungabera,ZrUjQFzR1gM,Espungabera CS,2022Q3,11.0,46.0,85.0,26,15.0,5.0,2.0,1.0,,,5.0,18.0,30.0,8.0,7.0,1.0,2.0,,,5.0,,135.0,,41.0,,18.0,,,32.0,29,2.0,,0,189,40
