Keycode,orgunitlevel2,orgunitlevel3,dhis_organisationunitid,dhis_organisationunitname,datim_organisationunitid,datim_organisationunitname,period,"echo_TX_CURR_N_Age_Sex_HIVStatus | <1, Male, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 1-4, Male, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 5-9, Male, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 10-14, Male, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 15-19, Male, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 20-24, Male, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 25-29, Male, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 30-34, Male, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 35-39, Male, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 40-44, Male, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 45-49, Male, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 50+, Male, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 50-54, Male, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 55-59, Male, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 60-64, Male, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 65+, Male, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | Unknown Age, Male, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | <1, Female, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 1-4, Female, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 5-9, Female, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 10-14, Female, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 15-19, Female, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 20-24, Female, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 25-29, Female, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 30-34, Female, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 35-39, Female, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 40-44, Female, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 45-49, Female, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 50+, Female, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 50-54, Female, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 55-59, Female, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 60-64, Female, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 65+, Female, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | Unknown Age, Female, Positive","echo_TX_CURR_N_KeyPop_HIVStatus | FSW, Positive","echo_TX_CURR_N_KeyPop_HIVStatus | MSM, Positive","echo_TX_CURR_N_KeyPop_HIVStatus | PWID, Positive","echo_TX_CURR_N_KeyPop_HIVStatus | People in prisons and other enclosed settings, Positive","echo_TX_CURR_N_Age_Sex_ARVDispense_HIVStatus | 15+, Female, ARV Dispensing Quantity - Less than 3 months, Positive","echo_TX_CURR_N_Age_Sex_ARVDispense_HIVStatus | 15+, Male, ARV Dispensing Quantity - Less than 3 months, Positive","echo_TX_CURR_N_Age_Sex_ARVDispense_HIVStatus | <15, Female, ARV Dispensing Quantity - Less than 3 months, Positive","echo_TX_CURR_N_Age_Sex_ARVDispense_HIVStatus | <15, Male, ARV Dispensing Quantity - Less than 3 months, Positive","echo_TX_CURR_N_Age_Sex_ARVDispense_HIVStatus | Unknown Age, Female, ARV Dispensing Quantity - Less than 3 months, Positive","echo_TX_CURR_N_Age_Sex_ARVDispense_HIVStatus | Unknown Age, Male, ARV Dispensing Quantity - Less than 3 months, Positive","echo_TX_CURR_N_Age_Sex_ARVDispense_HIVStatus | 15+, Female, ARV Dispensing Quantity - 3 to 5 months, Positive","echo_TX_CURR_N_Age_Sex_ARVDispense_HIVStatus | 15+, Male, ARV Dispensing Quantity - 3 to 5 months, Positive","echo_TX_CURR_N_Age_Sex_ARVDispense_HIVStatus | <15, Female, ARV Dispensing Quantity - 3 to 5 months, Positive","echo_TX_CURR_N_Age_Sex_ARVDispense_HIVStatus | <15, Male, ARV Dispensing Quantity - 3 to 5 months, Positive","echo_TX_CURR_N_Age_Sex_ARVDispense_HIVStatus | Unknown Age, Female, ARV Dispensing Quantity - 3 to 5 months, Positive","echo_TX_CURR_N_Age_Sex_ARVDispense_HIVStatus | Unknown Age, Male, ARV Dispensing Quantity - 3 to 5 months, Positive","echo_TX_CURR_N_Age_Sex_ARVDispense_HIVStatus | 15+, Female, ARV Dispensing Quantity - 6 or more months, Positive","echo_TX_CURR_N_Age_Sex_ARVDispense_HIVStatus | 15+, Male, ARV Dispensing Quantity - 6 or more months, Positive","echo_TX_CURR_N_Age_Sex_ARVDispense_HIVStatus | <15, Female, ARV Dispensing Quantity - 6 or more months, Positive","echo_TX_CURR_N_Age_Sex_ARVDispense_HIVStatus | <15, Male, ARV Dispensing Quantity - 6 or more months, Positive","echo_TX_CURR_N_Age_Sex_ARVDispense_HIVStatus | Unknown Age, Female, ARV Dispensing Quantity - 6 or more months, Positive","echo_TX_CURR_N_Age_Sex_ARVDispense_HIVStatus | Unknown Age, Male, ARV Dispensing Quantity - 6 or more months, Positive"
201110,Tete,Changara,DPpYRj17uV1,CS Dzunga,X7deWPhTiIy,Dzunga CS,2023Q1,0,3,6,8,7,9,32,57,88,95,37,,17,18,7,5,0,0,1,5,11,20,57,92,162,93,58,30,,24,14,13,5,0,53,0,0,0,139,38,8,7,0,0,427,334,9,10,0,0,0,0,0,0,0,0
200463,Tete,Changara,L62WV6AxXbu,CS Changara Sede,U8feQBluEhj,Changara CS,2023Q1,0,7,25,28,14,34,142,213,241,206,128,,83,32,30,24,0,1,15,26,29,27,186,443,448,322,228,141,,73,66,20,28,0,181,0,0,10,459,147,33,38,0,0,1522,1000,38,22,0,0,0,0,0,0,0,0
200464,Tete,Changara,vI8pjj6mcAu,CS Missaua,ccixNtjWLkf,M'Saua  CS,2023Q1,0,5,9,14,10,17,49,64,72,49,37,,17,22,12,12,0,1,8,10,11,23,90,118,127,85,66,51,,39,11,11,14,0,0,0,0,0,191,74,6,1,0,0,444,287,24,27,0,0,0,0,0,0,0,0
200479,Tete,Changara,Toljlj09adn,CS Mazoe,nvJQYEQIFFM,Mazoe Ponte CS,2023Q1,1,6,11,5,9,15,39,88,79,80,64,,34,18,13,18,0,1,1,10,13,23,95,159,178,151,96,56,,37,22,26,24,0,60,0,0,0,330,136,12,10,0,0,537,321,13,13,0,0,0,0,0,0,0,0
200494,Tete,Cidade de Tete,BEIqK4935Si,CS NÂº 2 ,YIxt0WtezdT,Nº 2 - Bairro Matundo CS,2023Q1,6,51,74,61,76,177,377,623,821,769,449,,289,197,102,86,0,5,49,85,99,159,786,1584,1707,1417,953,530,,299,179,91,67,0,464,117,3,0,1693,501,24,21,0,0,3838,2220,174,151,0,0,2193,1232,30,17,0,0
200491,Tete,Cidade de Tete,CjbDec4FkeU,CS Mpadue,f0WCSs2fwvv,Mpadue CS,2023Q1,1,4,14,8,5,30,93,182,206,182,85,,40,27,17,18,0,0,9,17,9,45,209,339,360,255,153,75,,27,30,11,6,0,6,1,0,0,292,76,14,8,0,0,1215,809,20,19,0,0,0,0,0,0,0,0
201851,Tete,Cidade de Tete,ris2tuYoYtW,CS NÂº 3 ,XLt8l1uPicg,Nº 3 - Bairro Manyanga CS,2023Q1,1,18,48,60,50,108,282,476,571,492,370,,213,154,97,81,0,2,17,48,65,110,496,1105,1067,985,659,442,,252,157,70,50,0,152,181,0,2,944,331,25,33,0,0,1939,1143,70,55,0,0,2498,1418,37,39,0,0
200457,Tete,Cidade de Tete,LoiUO8sLgRA,CS NÂº 4 ,DW7NajJs9ry,Nº 4 - Bairro Muthemba CS,2023Q1,1,12,36,44,29,87,234,429,516,444,210,,152,88,52,48,0,2,27,39,53,109,472,844,866,753,488,285,,165,112,60,33,0,109,13,0,1,1049,339,48,38,0,0,1704,1104,56,47,0,0,1422,844,15,7,0,0
200957,Tete,Cidade de Tete,cXKrZBbUhrD,HP Tete,e9NQxtBNruk,Tete HP,2023Q1,0,3,3,2,4,11,11,31,55,74,65,,45,43,19,17,0,0,1,5,3,12,32,34,47,69,90,55,,57,29,22,9,0,0,1,0,0,42,28,3,2,0,0,412,346,6,6,0,0,1,0,0,0,0,0
200481,Tete,Cidade de Tete,RxiHBnSddHb,CS NÂº 1 ,P91Rf8wCj7Z,Nº 1 - Bairro Magaia CS,2023Q1,2,10,25,32,33,53,112,268,348,373,208,,109,83,54,52,0,1,5,20,24,55,199,495,698,724,526,242,,159,100,48,31,0,10,1,0,0,797,244,6,10,0,0,1090,692,36,55,0,0,1388,757,8,4,0,0
200475,Tete,Mutarara,XV1d4AS1A7z,CS Inhangoma,DXrgpyCKD21,Inhangoma CS,2023Q1,0,9,13,4,7,21,44,66,67,76,46,,51,18,32,17,0,0,9,8,11,19,93,125,151,127,129,60,,46,16,17,9,0,0,0,0,0,221,112,9,12,0,0,567,332,19,14,0,0,0,0,0,0,0,0
201869,Tete,Mutarara,jrv5B2suUiV,HR Mutarara,zFzYdXMnPoP,Mutarara HR,2023Q1,0,20,35,45,27,60,125,216,223,175,137,,67,48,42,36,0,0,17,34,19,37,170,382,390,273,264,129,,85,50,22,25,0,66,0,0,7,1150,701,12,25,0,0,676,454,57,75,0,0,0,0,0,0,0,0
340078,Tete,Moatize,GpVP3Er8tHH,CS 25 de Setembro,cGvhZR5kDxQ,25 de Setembro CS,2023Q1,0,2,14,2,3,11,31,99,102,73,49,,25,14,8,4,0,0,8,11,7,19,112,244,250,154,108,32,,24,8,7,3,0,2,3,3,1,234,34,8,4,0,0,727,385,18,14,0,0,0,0,0,0,0,0
200471,Tete,Moatize,xIElA3ybQ9K,CS ZÃ³bue,dYIdx3HoWbL,Zobue CS,2023Q1,3,5,13,14,12,22,83,104,129,124,87,,56,32,22,10,0,1,15,11,23,34,123,254,286,205,163,104,,48,26,12,16,0,4,0,2,1,332,95,6,7,0,0,934,584,44,28,0,0,0,0,0,0,0,0
200460,Tete,Moatize,K3zTWxyKzE5,CS Moatize,F42k81lXXMO,Moatize CS,2023Q1,0,19,55,64,61,76,183,427,592,551,381,,270,180,102,86,0,3,21,61,81,87,388,870,1119,979,723,463,,300,232,107,92,0,14,3,0,9,632,162,21,19,0,0,1589,854,107,87,0,0,3092,1888,37,30,0,0
200472,Tete,Moatize,eeXvku5d78S,CS Caphirizange,dRcaKumSx2h,Caphirizange PS,2023Q1,0,1,2,4,1,9,30,89,88,66,55,,22,14,11,2,0,0,4,7,3,8,53,151,147,111,52,48,,25,9,6,5,0,0,0,0,0,119,57,0,0,0,0,493,330,14,7,0,0,0,0,0,0,0,0
201698,Tete,Moatize,EqSs8Eh9tZl,CS CFM,pthlRKVLgNp,CFM CS,2023Q1,0,8,12,3,1,13,41,101,118,72,37,,19,12,10,5,0,0,8,14,6,29,187,271,226,180,83,37,,24,11,3,3,0,1,0,0,0,179,29,5,2,0,0,863,399,23,21,0,0,0,0,0,0,0,0
200451,Tete,Moatize,eydYBmar8my,CS Ncondedzi,n5SZuEC3O1j,Ncondezi CS,2023Q1,0,4,7,13,1,5,26,43,59,52,29,,24,15,11,11,0,0,9,14,9,9,73,96,129,100,60,33,,30,21,8,8,0,1,0,0,0,118,29,11,5,0,0,449,247,21,19,0,0,0,0,0,0,0,0
200147,Tete,Moatize,HMVJTsa8OXT,CS Cateme,qr4pPLTe6Ki,Cateme CS,2023Q1,0,2,5,5,5,15,22,50,53,56,25,,16,9,2,1,0,0,6,8,7,18,80,81,94,65,49,12,,16,5,4,3,0,1,0,0,2,56,47,1,1,0,0,371,207,20,11,0,0,0,0,0,0,0,0
200484,Tete,Moatize,RHvxT0kh778,CS Mameme II,DsuExtGvONG,Mameme II CS,2023Q1,0,1,7,4,1,1,25,44,56,40,24,,20,8,7,6,0,1,1,9,7,11,60,98,73,63,50,25,,24,5,10,3,0,0,0,0,0,74,16,2,1,0,0,333,215,16,11,0,0,0,0,0,0,0,0
200454,Tete,Angonia,MfZ1FGglCMh,CS Domue,CpZyeEzz39h,Dómue CS,2023Q1,0,9,14,4,5,10,47,86,91,76,52,,50,18,9,11,0,0,9,12,6,20,124,223,213,139,125,77,,52,23,15,10,0,61,0,0,0,349,76,2,3,0,0,668,378,25,24,0,0,0,0,0,0,0,0
200490,Tete,Angonia,gkGCB2QSrvm,CS Lifidzi,MAtmMxsNpeZ,Lifidzi CS,2023Q1,0,2,6,4,3,11,32,64,53,57,39,,31,24,17,14,0,1,2,6,6,12,38,91,100,94,74,69,,36,31,13,13,0,4,0,0,0,191,80,1,1,0,0,378,265,14,10,0,0,0,0,0,0,0,0
200933,Tete,Angonia,lO1ZOpovYiZ,HR Ulongue,sAnH4cWV41G,Ulongue HR,2023Q1,0,3,21,18,21,34,64,104,161,151,160,,102,66,40,40,0,0,5,9,10,23,91,150,186,246,197,191,,117,78,43,36,0,35,0,0,0,312,149,4,9,0,0,1046,794,20,33,0,0,0,0,0,0,0,0
200456,Tete,Angonia,sPZW2VMVI6B,CS Ulongue,gsIY3JD3iHh,Ulongue CS,2023Q1,0,4,9,1,2,23,65,84,76,61,38,,17,12,6,4,0,2,7,14,5,27,207,295,264,188,94,27,,18,8,2,1,0,50,0,0,4,455,76,11,5,0,0,675,312,17,9,0,0,0,0,0,0,0,0
200447,Tete,Marara,hkIFBir1IrX,CS Cachembe,t0V5NCdjdPi,Cachembe CS,2023Q1,2,6,8,10,3,15,42,61,75,71,51,,33,17,13,11,0,0,5,19,7,19,78,119,93,116,81,60,,45,28,10,15,0,0,0,0,0,229,83,9,9,0,0,434,309,22,17,0,0,0,0,0,0,0,0
200462,Tete,Marara,BxkIkDAITR2,CS Boroma,dSuHNzaRaSf,Boroma CS,2023Q1,0,3,3,6,5,9,18,23,36,48,25,,29,25,3,9,0,0,1,4,0,14,43,46,55,39,49,37,,26,12,8,17,0,0,0,0,0,61,36,1,2,0,0,285,194,4,10,0,0,0,0,0,0,0,0
200497,Manica,Barue,fDqUIAimXAL,CS Chiuala,dl9g8UYxk20,Chuala CS,2023Q1,0,8,8,2,1,10,29,36,32,28,20,,18,16,4,4,0,0,7,5,2,12,49,77,84,42,50,27,,9,9,3,13,0,2,1,0,0,90,22,3,3,0,0,285,176,11,15,0,0,0,0,0,0,0,0
200549,Manica,Barue,GsYcZ9h9BUK,CS Nhassacara,Z6ZZLw50mAM,Nhassacara CS,2023Q1,0,4,7,10,4,17,52,75,59,64,51,,23,9,9,8,0,0,4,11,12,23,104,113,108,103,70,44,,37,19,9,10,0,17,1,0,1,177,37,2,6,0,0,462,334,25,15,0,0,0,0,0,0,0,0
200521,Manica,Barue,d3aFvsvQ7O2,CS Nhazonia,Nv5WX50ktwr,Nhazonia CS,2023Q1,0,4,6,9,6,13,28,45,49,38,30,,18,11,7,6,0,0,3,9,5,11,68,104,87,73,63,24,,16,9,12,12,0,3,0,0,0,118,29,1,2,0,0,361,222,16,17,0,0,0,0,0,0,0,0
200936,Manica,Barue,omMGWeMjO27,HD Catandica,qiBueINJbti,Catandica HD,2023Q1,2,29,41,40,33,57,156,348,362,287,243,,141,88,59,70,0,5,16,72,53,70,418,691,789,592,441,292,,167,96,77,80,0,39,3,5,22,754,259,41,24,0,0,2957,1585,105,88,0,0,0,0,0,0,0,0
200530,Manica,Barue,XOhxRL9w3Jt,CS Honde,wgqFTVU7Iky,Honde CS,2023Q1,0,9,4,7,0,7,21,54,54,59,57,,18,18,17,16,0,1,3,5,7,9,75,111,116,88,79,51,,42,14,15,12,0,3,0,0,0,121,21,1,2,0,0,491,300,15,18,0,0,0,0,0,0,0,0
200548,Manica,Barue,rsZpZwTAPq1,CS Cruzamento de Macossa,DVF2BNdSzV9,Cruz de Macossa CS,2023Q1,0,1,5,5,3,19,43,71,49,41,25,,26,7,8,9,0,0,6,19,3,15,81,131,124,73,68,34,,26,20,10,11,0,13,0,0,0,90,27,6,1,0,0,501,274,22,10,0,0,0,0,0,0,0,0
200524,Manica,Barue,xpFEJzy6IXt,CS Nhampassa,VSHfWQyhzUu,Nhampassa CS,2023Q1,0,6,6,10,2,14,38,91,85,66,56,,39,13,20,18,0,0,8,16,9,44,138,197,193,132,103,71,,45,26,18,20,0,0,0,0,0,185,28,2,2,0,0,802,414,31,20,0,0,0,0,0,0,0,0
201647,Tete,Cahora Bassa,IMtx8G5tq4u,HR Songo,o3nzTkLC1Pl,Songo HR,2023Q1,0,10,20,23,19,33,109,182,222,211,126,,78,47,39,42,0,0,13,16,20,49,174,400,403,367,232,164,,86,61,31,26,0,2,0,0,0,884,488,23,31,0,0,1077,595,26,22,0,0,0,0,0,0,0,0
200023,Tete,Cahora Bassa,e8wv3acHddB,CS Chitima,KCPICjUZcE4,Chitima CS,2023Q1,0,10,28,27,29,55,120,270,319,283,190,,123,66,37,39,0,2,13,36,40,59,305,497,526,444,306,165,,111,68,22,33,0,75,0,0,0,471,184,24,20,0,0,553,323,55,35,0,0,1498,1021,12,10,0,0
200533,Manica,Guro,wdaQR3Yk6ji,CS Mandie,z8MwD6T43n2,Mandie CS,2023Q1,0,1,25,56,17,13,73,78,81,111,43,,21,12,6,5,2,0,3,25,52,31,107,187,201,113,50,23,,23,13,12,4,0,0,0,0,0,92,32,2,7,0,2,672,428,78,75,0,0,0,0,0,0,0,0
200552,Manica,Guro,X8TLq4JNXju,CS Guro-Sede,VsFXXXagVmp,Guro - Sede CS,2023Q1,1,19,38,43,36,33,122,219,214,174,134,,91,49,51,33,0,3,27,46,38,61,231,450,511,311,234,167,,85,85,51,23,0,36,1,1,8,385,160,21,28,0,0,1807,994,93,73,0,0,0,0,0,0,0,0
200459,Tete,Macanga,RRFBArNZQqU,CS Furancungo,yVFdJkYsLK5,Furancungo CS,2023Q1,0,11,14,3,7,27,47,115,155,105,77,,51,25,15,22,0,1,10,9,16,16,100,159,189,137,95,55,,31,21,11,11,0,5,0,0,0,166,57,5,4,0,0,658,588,31,24,0,0,0,0,0,0,0,0
200452,Tete,Chiuta,cngCCowWdet,CS Manje,hWWRAoV26mI,Manje CS,2023Q1,0,6,9,13,16,31,57,89,108,96,76,,32,25,18,13,0,0,7,13,12,45,124,209,184,147,133,72,,36,23,20,12,0,10,0,1,0,251,50,5,10,0,0,749,504,27,17,0,0,0,0,0,0,0,0
200532,Manica,Vanduzi,goKXBs7N5B8,CS IAC,yIcfnuZhejK,IAC CS,2023Q1,1,6,12,4,10,8,35,98,75,73,38,,20,19,13,9,0,3,4,16,12,13,100,165,172,122,61,34,,18,9,10,12,0,8,0,1,0,180,37,5,1,0,0,536,361,30,22,0,0,0,0,0,0,0,0
200523,Manica,Vanduzi,dVMKbEosMwp,CS Matsinho,eSZjKIwHPYi,Matsinho CS,2023Q1,0,7,20,10,4,19,65,151,98,94,56,,43,14,16,8,0,0,7,31,22,28,139,239,307,166,98,48,,27,13,6,7,0,0,1,0,0,444,84,11,11,0,0,634,484,49,26,0,0,0,0,0,0,0,0
200564,Manica,Vanduzi,vtKfiT3Z1Co,CS Pungue Sul,IRD5QXalHtJ,Pungue Sul CS,2023Q1,0,0,5,4,1,12,30,66,58,59,29,,21,12,9,11,0,0,2,8,4,12,64,122,112,69,50,33,,24,7,10,5,0,12,1,0,0,130,20,0,0,0,0,378,288,14,9,0,0,0,0,0,0,0,0
200565,Manica,Vanduzi,KImmzT8DzJ7,CS VandÃºzi,srTptJGYtcK,Vanduzi CS,2023Q1,2,14,32,37,18,37,85,195,253,219,144,,98,50,49,72,0,0,22,28,29,55,278,471,567,473,314,194,,136,89,47,41,0,307,1,1,0,839,253,27,32,0,0,1812,967,52,53,0,0,0,0,0,0,0,0
200542,Manica,Vanduzi,RZSIFguHtRn,CS Chigodore,admxsO3fTtq,Chigodole CS,2023Q1,0,7,10,6,4,17,33,73,81,62,34,,21,19,9,10,0,0,3,12,12,10,64,136,157,134,64,42,,30,18,14,10,0,0,0,0,0,115,29,2,2,0,0,564,334,25,21,0,0,0,0,0,0,0,0
200503,Manica,Macate,JCaOI2EWde3,CS Zembe Centro,p9u7nMWHEgF,Zembe Centro CS,2023Q1,0,3,6,3,0,2,11,33,34,37,21,,10,4,7,8,0,0,4,7,4,5,39,51,74,60,32,20,,11,7,4,8,0,0,0,0,0,50,14,1,0,0,0,261,153,14,12,0,0,0,0,0,0,0,0
200560,Manica,Macate,mNfnkeXdKxY,CS Macate,pEAFBcOJIVF,Macate CS,2023Q1,0,9,16,7,5,20,42,99,101,104,87,,40,20,21,15,0,0,10,17,9,13,127,203,174,142,98,66,,45,24,12,12,0,1,0,1,0,301,52,6,6,0,0,599,501,29,26,0,0,0,0,0,0,0,0
200501,Manica,Macate,tkLybDtDdo0,CS Marera,t3snPDHuVBW,Marera CS,2023Q1,0,9,10,10,9,11,43,48,54,55,31,,31,8,10,6,0,0,3,12,7,13,84,157,134,95,68,37,,30,20,12,7,0,0,0,0,0,229,52,8,12,0,0,428,254,14,17,0,0,0,0,0,0,0,0
201028,Tete,Magoe,NE3tEHxUcic,CS Daque,lUDMkJxSxHL,Daque CS,2023Q1,1,5,3,8,6,15,69,115,109,85,49,,27,14,10,10,0,0,8,12,10,15,73,140,140,97,71,43,,16,8,10,9,0,6,0,0,0,126,40,6,4,0,0,496,469,24,13,0,0,0,0,0,0,0,0
200483,Tete,Magoe,CAszGuhyUnC,CS Mucumbura,oJNbeCd6bvb,Mucumbura CS,2023Q1,1,1,15,18,25,22,52,96,129,130,96,,64,32,21,37,0,1,7,15,28,34,85,169,181,242,168,104,,60,43,35,26,0,2,0,0,0,195,63,13,9,0,0,948,640,38,26,0,0,0,0,0,0,0,0
200469,Tete,Magoe,zo9yOvNADO0,CS Magoe,Uih0KGtvZeo,Magoe CS,2023Q1,0,19,21,28,22,28,63,154,166,162,111,,45,27,18,16,0,0,8,34,18,29,101,223,213,187,128,78,,47,24,13,11,0,4,0,0,1,216,99,13,12,0,0,832,711,46,54,0,0,0,0,0,0,0,0
200535,Manica,Machaze,Sqry0ikIChZ,CS Bassane,aUMEQzUKI0K,Bassane CS,2023Q1,1,4,7,8,10,4,37,51,70,64,61,,32,19,22,22,0,1,9,5,10,12,57,92,145,127,150,96,,50,29,23,8,0,1,0,0,0,114,46,2,1,0,0,673,345,23,19,0,0,2,1,0,0,0,0
200538,Manica,Machaze,MdN1RqeBzCP,CS Chipodji,dZrjKdqCi1w,Chipudji CS,2023Q1,2,7,15,13,5,7,19,35,37,63,46,,39,12,9,10,0,1,6,16,10,9,63,87,139,139,150,124,,43,32,11,6,0,4,0,0,0,494,162,22,25,0,0,296,115,11,12,0,0,0,0,0,0,0,0
200536,Manica,Machaze,e3XMm8h8pJ3,CS Chitobe,FmAQ159jI3w,Chitobe CS,2023Q1,0,11,31,39,20,24,72,132,137,128,96,,66,38,31,33,0,1,18,41,28,43,221,361,417,372,267,186,,141,58,21,24,0,11,4,0,1,985,365,35,37,0,0,1126,411,53,44,0,0,0,0,0,0,0,0
200539,Manica,Machaze,oi1t1JPUViW,CS Mavende,z8UkGdr2xNs,Mavende CS,2023Q1,0,5,3,6,5,7,19,38,40,54,36,,22,32,16,14,0,0,9,9,12,13,42,72,83,83,77,53,,46,27,18,9,0,0,0,0,0,102,34,7,1,0,0,412,249,22,12,0,0,0,0,0,0,0,0
200557,Manica,Machaze,HZVnPphSXDJ,CS Save,ZifoCg4OvIj,Save CS,2023Q1,0,10,17,11,10,7,31,42,58,65,76,,44,34,19,15,0,0,6,14,23,21,84,114,160,153,151,139,,75,57,16,13,0,9,0,0,0,195,43,7,15,0,0,784,358,36,23,0,0,0,0,0,0,0,0
200556,Manica,Machaze,MfZ8vUFX3fM,CS Mazwissanga,c6yCKEAemfr,Mazwissanga CS,2023Q1,0,3,5,8,9,5,11,26,19,27,17,,8,16,6,5,0,0,0,1,5,7,26,53,65,53,50,47,,20,10,5,5,0,0,0,0,0,274,104,6,16,0,0,67,44,0,0,0,0,0,0,0,0,0,0
200561,Manica,Machaze,wXsyilYI7PO,CS Chipopopo,jhngb8KdYU1,Chipopopo CS,2023Q1,0,3,13,9,4,11,34,42,63,65,45,,34,18,3,14,0,0,10,13,8,12,72,131,132,128,103,81,,50,21,10,5,0,0,0,0,0,237,54,10,3,0,0,508,279,21,22,0,0,0,0,0,0,0,0
200566,Manica,Mossurize,pdtUKo1EQzR,CS Dacata,yYG52aLO1GK,Dacata CS,2023Q1,0,6,4,7,4,8,18,46,46,46,42,,33,20,24,13,0,0,2,3,10,16,56,95,141,139,126,93,,64,39,21,12,0,6,0,0,0,144,46,5,6,0,0,658,254,10,11,0,0,0,0,0,0,0,0
200567,Manica,Mossurize,B0ndNKYIIDd,CS Mude,t0KQQSZk9rF,Mude CS,2023Q1,0,3,2,10,3,2,9,17,22,30,30,,25,8,12,5,0,0,3,4,6,2,28,44,62,75,68,47,,28,10,14,6,0,2,0,0,0,75,18,2,3,0,0,309,145,11,12,0,0,0,0,0,0,0,0
200939,Manica,Mossurize,A4fQVrJD7Zd,HD Espungabera,ZrUjQFzR1gM,Espungabera CS,2023Q1,0,6,21,29,9,29,69,152,163,192,152,,104,70,39,27,0,0,4,21,23,40,200,350,474,411,346,229,,115,74,55,27,0,53,7,1,7,264,97,4,6,0,0,2052,906,43,50,0,0,0,0,0,0,0,0
201645,Manica,Mossurize,OFV5FvycnU2,CS Garagua,A0e3A15Lh1d,Garagua CS,2023Q1,0,3,8,2,3,3,18,33,43,41,37,,43,12,6,5,0,0,3,10,7,9,40,64,71,95,80,36,,46,11,2,3,0,6,0,1,0,120,15,2,1,0,0,337,229,18,12,0,0,0,0,0,0,0,0
200032,Manica,Mossurize,GY2vnTIADh1,CS Chaiva,kKsL2QkNR4K,Chaiva CS,2023Q1,0,4,3,5,1,7,21,52,71,83,69,,46,21,14,12,0,0,3,7,6,9,68,142,166,119,104,50,,27,14,7,5,0,6,0,0,0,99,35,1,3,0,0,612,362,15,9,0,0,0,0,0,0,0,0
200513,Manica,Mossurize,djm9ORhcU3X,CS Gunhe,X6efCWparbb,Gunhe CS,2023Q1,1,6,8,4,2,13,28,33,67,70,47,,28,11,11,4,0,0,2,9,7,3,48,98,108,106,80,35,,16,11,8,4,0,2,2,1,0,97,45,1,2,0,0,420,269,17,17,0,0,0,0,0,0,0,0
200529,Manica,Mossurize,U7iWzT5xo5X,CS Mupengo,NJKcpotvrAQ,Mupengo CS,2023Q1,0,1,4,3,1,11,23,44,53,47,39,,23,15,14,9,0,0,8,8,4,14,57,118,165,122,115,66,,35,19,9,6,0,23,14,0,0,239,72,7,2,0,0,487,207,13,6,0,0,0,0,0,0,0,0
