dataset,datim_dataelement,shortname,code,dataelement,dataelementuid,dataelementdesc,categoryoptioncombo,categoryoptioncombocode,categoryoptioncombouid,Keycode,period,orgunitlevel2,orgunitlevel3,dhis_organisationunitid,dhis_organisationunitname,datim_organisationunitid,datim_organisationunitname,value
MER Results: Facility Based,"PrEP_CT (N, DSD, TestResult): Receiving PrEP","PrEP_CT (N, DSD, TestResult)",PrEP_CT_N_DSD_TestResult,ECHO MOZ | PREP_CT Test Result (Negative),Y5zUjJ7a5fK,"Number of individuals, including those newly enrolled, receiving oral PrEP during the reporting period",PrEP Test Result - Negative,zeIPVS0tehO,zeIPVS0tehO,200549,2022Q3,Manica,Barue,GsYcZ9h9BUK,CS Nhassacara,Z6ZZLw50mAM,Nhassacara CS,10.0
MER Results: Facility Based,"PrEP_CT (N, DSD, TestResult): Receiving PrEP","PrEP_CT (N, DSD, TestResult)",PrEP_CT_N_DSD_TestResult,ECHO MOZ | PREP_CT Test Result (Negative),Y5zUjJ7a5fK,"Number of individuals, including those newly enrolled, receiving oral PrEP during the reporting period",PrEP Test Result - Negative,zeIPVS0tehO,zeIPVS0tehO,200521,2022Q3,Manica,Barue,d3aFvsvQ7O2,CS Nhazonia,Nv5WX50ktwr,Nhazonia CS,7.0
MER Results: Facility Based,"PrEP_CT (N, DSD, TestResult): Receiving PrEP","PrEP_CT (N, DSD, TestResult)",PrEP_CT_N_DSD_TestResult,ECHO MOZ | PREP_CT Test Result (Negative),Y5zUjJ7a5fK,"Number of individuals, including those newly enrolled, receiving oral PrEP during the reporting period",PrEP Test Result - Negative,zeIPVS0tehO,zeIPVS0tehO,200936,2022Q3,Manica,Barue,omMGWeMjO27,HD Catandica,qiBueINJbti,Catandica HD,159.0
MER Results: Facility Based,"PrEP_CT (N, DSD, TestResult): Receiving PrEP","PrEP_CT (N, DSD, TestResult)",PrEP_CT_N_DSD_TestResult,ECHO MOZ | PREP_CT Test Result (Negative),Y5zUjJ7a5fK,"Number of individuals, including those newly enrolled, receiving oral PrEP during the reporting period",PrEP Test Result - Negative,zeIPVS0tehO,zeIPVS0tehO,200524,2022Q3,Manica,Barue,xpFEJzy6IXt,CS Nhampassa,VSHfWQyhzUu,Nhampassa CS,0.0
MER Results: Facility Based,"PrEP_CT (N, DSD, TestResult): Receiving PrEP","PrEP_CT (N, DSD, TestResult)",PrEP_CT_N_DSD_TestResult,ECHO MOZ | PREP_CT Test Result (Negative),Y5zUjJ7a5fK,"Number of individuals, including those newly enrolled, receiving oral PrEP during the reporting period",PrEP Test Result - Negative,zeIPVS0tehO,zeIPVS0tehO,200552,2022Q3,Manica,Guro,X8TLq4JNXju,CS Guro-Sede,VsFXXXagVmp,Guro - Sede CS,11.0
MER Results: Facility Based,"PrEP_CT (N, DSD, TestResult): Receiving PrEP","PrEP_CT (N, DSD, TestResult)",PrEP_CT_N_DSD_TestResult,ECHO MOZ | PREP_CT Test Result (Negative),Y5zUjJ7a5fK,"Number of individuals, including those newly enrolled, receiving oral PrEP during the reporting period",PrEP Test Result - Negative,zeIPVS0tehO,zeIPVS0tehO,200532,2022Q3,Manica,Vanduzi,goKXBs7N5B8,CS IAC,yIcfnuZhejK,IAC CS,42.0
MER Results: Facility Based,"PrEP_CT (N, DSD, TestResult): Receiving PrEP","PrEP_CT (N, DSD, TestResult)",PrEP_CT_N_DSD_TestResult,ECHO MOZ | PREP_CT Test Result (Negative),Y5zUjJ7a5fK,"Number of individuals, including those newly enrolled, receiving oral PrEP during the reporting period",PrEP Test Result - Negative,zeIPVS0tehO,zeIPVS0tehO,200536,2022Q3,Manica,Machaze,e3XMm8h8pJ3,CS Chitobe,FmAQ159jI3w,Chitobe CS,39.0
MER Results: Facility Based,"PrEP_CT (N, DSD, TestResult): Receiving PrEP","PrEP_CT (N, DSD, TestResult)",PrEP_CT_N_DSD_TestResult,ECHO MOZ | PREP_CT Test Result (Negative),Y5zUjJ7a5fK,"Number of individuals, including those newly enrolled, receiving oral PrEP during the reporting period",PrEP Test Result - Negative,zeIPVS0tehO,zeIPVS0tehO,200557,2022Q3,Manica,Machaze,HZVnPphSXDJ,CS Save,ZifoCg4OvIj,Save CS,15.0
MER Results: Facility Based,"PrEP_CT (N, DSD, TestResult): Receiving PrEP","PrEP_CT (N, DSD, TestResult)",PrEP_CT_N_DSD_TestResult,ECHO MOZ | PREP_CT Test Result (Negative),Y5zUjJ7a5fK,"Number of individuals, including those newly enrolled, receiving oral PrEP during the reporting period",PrEP Test Result - Negative,zeIPVS0tehO,zeIPVS0tehO,200566,2022Q3,Manica,Mossurize,pdtUKo1EQzR,CS Dacata,yYG52aLO1GK,Dacata CS,16.0
MER Results: Facility Based,"PrEP_CT (N, DSD, TestResult): Receiving PrEP","PrEP_CT (N, DSD, TestResult)",PrEP_CT_N_DSD_TestResult,ECHO MOZ | PREP_CT Test Result (Negative),Y5zUjJ7a5fK,"Number of individuals, including those newly enrolled, receiving oral PrEP during the reporting period",PrEP Test Result - Negative,zeIPVS0tehO,zeIPVS0tehO,200939,2022Q3,Manica,Mossurize,A4fQVrJD7Zd,HD Espungabera,ZrUjQFzR1gM,Espungabera CS,189.0
