Keycode,period,"echo_PMTCT_STAT_D_Age_Sex | 10-14, Female","echo_PMTCT_STAT_D_Age_Sex | 15-19, Female","echo_PMTCT_STAT_D_Age_Sex | 20-24, Female","echo_PMTCT_STAT_D_Age_Sex | 25-29, Female","echo_PMTCT_STAT_N_Age_Sex_KnownNewResult | 10-14, Female, Known at Entry Positive","echo_PMTCT_STAT_N_Age_Sex_KnownNewResult | 15-19, Female, Known at Entry Positive","echo_PMTCT_STAT_N_Age_Sex_KnownNewResult | 20-24, Female, Known at Entry Positive","echo_PMTCT_STAT_N_Age_Sex_KnownNewResult | 25-29, Female, Known at Entry Positive","echo_PMTCT_STAT_N_Age_Sex_KnownNewResult | 10-14, Female, Newly Identified Positive","echo_PMTCT_STAT_N_Age_Sex_KnownNewResult | 10-14, Female, Newly Identified Negative","echo_PMTCT_STAT_N_Age_Sex_KnownNewResult | 15-19, Female, Newly Identified Positive","echo_PMTCT_STAT_N_Age_Sex_KnownNewResult | 15-19, Female, Newly Identified Negative","echo_PMTCT_STAT_N_Age_Sex_KnownNewResult | 20-24, Female, Newly Identified Positive","echo_PMTCT_STAT_N_Age_Sex_KnownNewResult | 20-24, Female, Newly Identified Negative","echo_PMTCT_STAT_N_Age_Sex_KnownNewResult | 25-29, Female, Newly Identified Positive","echo_PMTCT_STAT_N_Age_Sex_KnownNewResult | 25-29, Female, Newly Identified Negative","echo_PMTCT_ART_N_Age_NewExistingArt_Sex_HIV | 10-14, Life-long ART, Already, Female, Positive","echo_PMTCT_ART_N_Age_NewExistingArt_Sex_HIV | 10-14, Life-long ART, New, Female, Positive","echo_PMTCT_ART_N_Age_NewExistingArt_Sex_HIV | 15-19, Life-long ART, New, Female, Positive","echo_PMTCT_ART_N_Age_NewExistingArt_Sex_HIV | 15-19, Life-long ART, Already, Female, Positive","echo_PMTCT_ART_N_Age_NewExistingArt_Sex_HIV | 20-24, Life-long ART, Already, Female, Positive","echo_PMTCT_ART_N_Age_NewExistingArt_Sex_HIV | 20-24, Life-long ART, New, Female, Positive","echo_PMTCT_ART_N_Age_NewExistingArt_Sex_HIV | 25-29, Life-long ART, Already, Female, Positive","echo_PMTCT_ART_N_Age_NewExistingArt_Sex_HIV | 25-29, Life-long ART, New, Female, Positive","echo_PMTCT_STAT_N_Age_Sex_KnownNewResult | Unknown Age, Female, Known at Entry Positive","echo_PMTCT_STAT_N_Age_Sex_KnownNewResult | Unknown Age, Female, Newly Identified Negative","echo_PMTCT_STAT_N_Age_Sex_KnownNewResult | Unknown Age, Female, Newly Identified Positive","echo_PMTCT_ART_N_Age_NewExistingArt_Sex_HIV | Unknown Age, Life-long ART, New, Female, Positive","PMTCT_ART_N_Age_NewExistingArt_Sex_HIV | Unknown Age, Life-long ART, Already, Female, Positive"
200957,2022Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200592,2022Q1,2,70,96,57,0,1,7,9,0,2,2,67,3,86,5,43,0,0,2,1,7,3,9,5,0,0,0,0,0
200548,2022Q1,0,64,95,101,0,0,5,4,0,0,1,63,1,86,2,94,0,0,1,0,5,1,4,2,0,0,0,0,0
321331,2022Q1,0,42,56,73,0,0,1,15,0,0,0,42,0,55,1,55,0,0,0,0,1,0,15,1,0,0,0,0,0
200479,2022Q1,,87,84,107,,1,4,12,,,,86,,80,1,94,,,,1,4,,12,1,,,,,
200552,2022Q1,2,222,198,183,0,1,11,19,0,2,4,217,3,184,1,163,0,0,4,1,11,4,19,1,0,0,0,0,0
200484,2022Q1,0,53,71,151,0,0,3,5,0,0,0,53,1,67,4,142,0,0,0,0,3,1,5,4,0,0,0,0,0
200940,2022Q1,0,64,127,171,0,1,5,13,0,0,0,63,1,120,6,152,0,0,0,1,5,1,13,6,,0,0,0,0
200481,2022Q1,,21,97,214,,1,4,51,,,1,19,2,91,6,157,,,1,1,4,2,51,7,,,,,
200524,2022Q1,0,56,87,96,0,1,3,7,0,0,1,54,2,82,3,86,0,0,1,1,3,3,7,3,0,0,0,0,0
200532,2022Q1,0,73,171,159,0,1,4,10,0,0,2,70,5,162,6,143,0,0,2,1,4,5,10,6,0,0,0,0,0
200542,2022Q1,0,71,124,118,0,0,1,8,0,0,0,71,0,123,2,108,0,0,0,0,1,0,7,3,0,0,0,0,0
200943,2022Q1,0,190,223,430,0,2,14,73,0,0,10,177,4,205,14,343,0,0,10,2,14,6,73,15,0,0,0,0,0
200604,2022Q1,0,30,68,80,0,0,2,8,0,0,0,30,0,66,2,70,0,0,0,0,2,0,8,2,0,0,0,0,0
200195,2022Q1,,72,92,122,,,1,10,,,1,70,1,90,2,110,,,1,,1,1,10,2,,,,,
201110,2022Q1,1,48,84,88,,1,5,7,,1,1,46,,79,,81,,,1,1,5,,7,,,,,,
200600,2022Q1,0,66,76,69,0,1,9,13,0,0,0,65,4,63,0,56,0,0,0,1,9,4,13,0,0,0,0,0,0
200599,2022Q1,1,69,106,118,0,0,3,9,0,1,1,68,4,99,3,106,0,0,1,0,3,4,9,3,0,0,0,0,0
200614,2022Q1,1,106,340,750,0,1,19,116,0,1,2,103,12,308,28,606,0,0,2,1,19,12,116,30,,,,,
200561,2022Q1,0,65,108,111,0,0,0,11,0,0,0,65,0,108,6,94,0,0,0,0,0,0,11,6,0,0,0,0,0
200494,2022Q1,5,247,476,622,,3,18,82,,5,7,237,21,437,30,510,,,7,3,18,21,82,30,,,,,
200588,2022Q1,0,24,41,41,0,0,4,7,0,0,4,20,3,34,4,30,0,0,4,0,4,3,7,4,,,,,
