Keycode,period,"echo_TB_PREV_D_Age_Sex_NewExArt_HIVStatus | 15+, Female, Life-long ART, Already, Positive","echo_TB_PREV_D_Age_Sex_NewExArt_HIVStatus | 15+, Female, Life-long ART, New, Positive","echo_TB_PREV_D_Age_Sex_NewExArt_HIVStatus | 15+, Male, Life-long ART, Already, Positive","echo_TB_PREV_D_Age_Sex_NewExArt_HIVStatus | 15+, Male, Life-long ART, New, Positive","echo_TB_PREV_D_Age_Sex_NewExArt_HIVStatus | <15, Female, Life-long ART, Already, Positive","echo_TB_PREV_D_Age_Sex_NewExArt_HIVStatus | <15, Female, Life-long ART, New, Positive","echo_TB_PREV_D_Age_Sex_NewExArt_HIVStatus | <15, Male, Life-long ART, Already, Positive","echo_TB_PREV_D_Age_Sex_NewExArt_HIVStatus | <15, Male, Life-long ART, New, Positive","echo_TB_PREV_D_Age_Sex_NewExArt_HIVStatus | Unknown Age, Female, Life-long ART, Already, Positive","echo_TB_PREV_D_Age_Sex_NewExArt_HIVStatus | Unknown Age, Female, Life-long ART, New, Positive","echo_TB_PREV_D_Age_Sex_NewExArt_HIVStatus | Unknown Age, Male, Life-long ART, Already, Positive","echo_TB_PREV_D_Age_Sex_NewExArt_HIVStatus | Unknown Age, Male, Life-long ART, New, Positive","echo_TB_PREV_N_Age_Sex_NewExArt_HIVStatus | 15+, Female, Life-long ART, Already, Positive","echo_TB_PREV_N_Age_Sex_NewExArt_HIVStatus | 15+, Female, Life-long ART, New, Positive","echo_TB_PREV_N_Age_Sex_NewExArt_HIVStatus | 15+, Male, Life-long ART, Already, Positive","echo_TB_PREV_N_Age_Sex_NewExArt_HIVStatus | 15+, Male, Life-long ART, New, Positive","echo_TB_PREV_N_Age_Sex_NewExArt_HIVStatus | <15, Female, Life-long ART, Already, Positive","echo_TB_PREV_N_Age_Sex_NewExArt_HIVStatus | <15, Female, Life-long ART, New, Positive","echo_TB_PREV_N_Age_Sex_NewExArt_HIVStatus | <15, Male, Life-long ART, Already, Positive","echo_TB_PREV_N_Age_Sex_NewExArt_HIVStatus | <15, Male, Life-long ART, New, Positive","echo_TB_PREV_N_Age_Sex_NewExArt_HIVStatus | Unknown Age, Female, Life-long ART, Already, Positive","echo_TB_PREV_N_Age_Sex_NewExArt_HIVStatus | Unknown Age, Female, Life-long ART, New, Positive","echo_TB_PREV_N_Age_Sex_NewExArt_HIVStatus | Unknown Age, Male, Life-long ART, Already, Positive","echo_TB_PREV_N_Age_Sex_NewExArt_HIVStatus | Unknown Age, Male, Life-long ART, New, Positive"
200499,2022Q1,375,239,180,150,11,5,17,10,0,0,0,0,336,225,159,147,5,4,17,9,0,0,0,0
340078,2022Q1,12,61,7,32,0,3,0,0,0,0,0,0,12,61,7,32,0,3,0,0,0,0,0,0
338288,2022Q1,27,32,10,24,3,1,0,0,0,0,0,0,26,32,9,22,3,1,0,0,0,0,0,0
201696,2022Q1,290,199,120,90,21,7,17,4,0,0,0,0,261,185,109,88,20,7,17,3,0,0,0,0
360175,2022Q1,14,73,1,27,1,8,1,2,0,0,0,0,13,73,1,27,1,8,1,2,0,0,0,0
200527,2022Q1,17,53,11,29,5,0,3,1,0,0,0,0,15,49,8,27,5,0,3,1,0,0,0,0
200605,2022Q1,5,37,1,24,2,4,0,5,0,0,0,0,3,37,1,20,2,4,0,4,0,0,0,0
200574,2022Q1,25,80,10,47,1,10,2,7,0,0,0,0,25,74,10,46,1,10,2,7,0,0,0,0
200535,2022Q1,17,51,9,27,0,3,1,2,0,0,0,0,13,49,8,26,0,2,0,2,0,0,0,0
200462,2022Q1,36,22,10,25,0,1,0,0,0,0,0,0,35,22,10,25,0,1,0,0,0,0,0,0
200625,2022Q1,10,66,4,26,0,8,0,6,0,0,0,0,10,66,4,26,0,8,0,6,0,0,0,0
200447,2022Q1,16,38,11,24,1,1,1,2,0,0,0,0,13,34,11,22,1,1,1,1,0,0,0,0
200617,2022Q1,66,70,9,38,0,10,1,3,0,0,0,0,60,70,9,36,0,10,1,3,0,0,0,0
200472,2022Q1,6,40,2,30,1,0,0,0,0,0,0,0,4,39,1,27,1,0,0,0,0,0,0,0
200147,2022Q1,8,27,3,8,10,3,5,0,0,0,0,0,8,26,3,7,10,3,5,0,0,0,0,0
200588,2022Q1,43,98,19,71,3,2,4,3,0,0,0,0,43,97,19,69,3,2,4,3,0,0,0,0
201698,2022Q1,5,82,2,35,1,4,2,1,0,0,0,0,3,80,2,34,1,3,2,1,0,0,0,0
200032,2022Q1,63,67,15,42,1,0,0,3,0,0,0,0,59,66,14,42,1,0,0,3,0,0,0,0
200615,2022Q1,29,112,5,42,5,3,4,4,0,0,0,0,21,106,4,39,5,2,2,4,0,0,0,0
200463,2022Q1,20,68,9,59,1,5,0,2,0,0,0,0,19,64,8,54,1,5,0,2,0,0,0,0
200604,2022Q1,18,33,5,20,4,2,1,0,0,0,0,0,18,33,5,19,4,2,1,0,0,0,0,0
200542,2022Q1,51,36,26,29,1,0,1,1,0,0,0,0,46,35,25,28,0,0,0,1,0,0,0,0
200538,2022Q1,48,50,13,25,10,2,2,2,0,0,0,0,30,48,12,24,9,2,1,2,0,0,0,0
200561,2022Q1,60,56,19,41,8,4,3,2,0,0,0,0,29,52,11,39,6,4,0,2,0,0,0,0
321326,2022Q1,24,45,8,27,0,1,0,0,0,0,0,0,14,40,6,24,0,1,0,0,0,0,0,0
200173,2022Q1,5,31,0,31,0,0,1,2,0,0,0,0,2,26,0,30,0,0,1,1,0,0,0,0
200522,2022Q1,114,107,30,61,8,0,8,4,0,0,0,0,89,77,27,39,7,0,3,4,0,0,0,0
200023,2022Q1,9,96,4,79,0,3,0,0,0,0,0,0,9,94,4,78,0,3,0,0,0,0,0,0
