Keycode,period,"echo_TX_NEW_N_Preg_Feeding | Breastfeeding, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | <1, Male, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 1-4, Male, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 5-9, Male, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 10-14, Male, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 15-19, Male, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 20-24, Male, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 25-29, Male, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 30-34, Male, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 35-39, Male, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 40-44, Male, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 45-49, Male, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 50+, Male, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 50-54, Male, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 55-59, Male, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 60-64, Male, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 65+, Male, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | Unknown Age, Male, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | <1, Female, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 1-4, Female, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 5-9, Female, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 10-14, Female, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 15-19, Female, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 20-24, Female, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 25-29, Female, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 30-34, Female, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 35-39, Female, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 40-44, Female, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 45-49, Female, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 50+, Female, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 50-54, Female, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 55-59, Female, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 60-64, Female, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 65+, Female, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | Unknown Age, Female, Positive","echo_TX_NEW_N_KeyPop_HIVStatus | FSW, Positive","echo_TX_NEW_N_KeyPop_HIVStatus | MSM, Positive","echo_TX_NEW_N_KeyPop_HIVStatus | PWID, Positive","echo_TX_NEW_N_KeyPop_HIVStatus | People in prisons and other enclosed settings, Positive",TX_NEW_N_2MONTHS_All Patients,TX_NEW_N_2MONTHS_Pregnant Women,TX_NEW_N_2MONTHS_Breastfeeding,TX_NEW_N_2MONTHS_Children (0-14 Yrs),TX_NEW_N_2MONTHS_Non-Pregnant Adults
200499,2023Q1,11,2,1,1,0,4,5,14,14,14,9,8,,5,6,0,1,0,4,5,1,3,6,23,32,31,13,9,5,,2,1,1,0,0,2,0,0,0,,,,,
340078,2023Q1,2,0,0,0,0,0,0,2,5,2,2,1,,0,0,0,1,0,0,0,0,0,2,8,7,8,5,1,1,,2,1,0,0,0,0,0,0,0,,,,,
338288,2023Q1,1,1,0,0,0,0,1,3,1,6,2,1,,0,0,0,0,0,0,0,0,1,1,1,5,4,2,0,2,,0,1,0,0,0,0,0,0,0,,,,,
201696,2023Q1,2,1,2,1,0,2,4,14,15,13,12,5,,2,1,1,0,0,3,2,4,1,9,32,35,26,13,6,4,,4,0,0,2,0,5,11,0,0,,,,,
360175,2023Q1,2,1,0,0,0,1,1,4,5,3,3,3,,0,0,0,0,0,0,0,0,0,2,8,11,9,3,2,2,,2,0,0,0,0,0,0,0,0,,,,,
200527,2023Q1,3,0,0,0,0,0,3,4,8,2,2,5,,0,1,0,0,0,0,0,1,0,0,3,11,7,7,1,0,,1,1,2,0,0,0,0,0,0,,,,,
200605,2023Q1,1,0,1,0,0,1,0,4,1,3,0,0,,0,0,0,0,0,0,0,0,0,1,5,4,2,3,1,0,,1,0,0,0,0,0,0,0,0,,,,,
200574,2023Q1,1,0,2,0,0,1,2,3,4,2,5,0,,1,2,2,0,0,2,0,1,1,5,5,4,7,7,3,3,,2,2,3,0,0,0,0,0,0,,,,,
200535,2023Q1,0,0,0,0,0,1,1,7,2,7,5,3,,0,1,2,0,0,1,0,0,0,2,6,5,6,5,4,2,,4,0,2,0,0,0,0,0,0,,,,,
200462,2023Q1,0,0,0,0,0,1,1,0,2,3,5,2,,0,1,0,0,0,0,0,0,0,1,0,2,2,5,3,0,,1,0,0,0,0,0,0,0,0,,,,,
200625,2023Q1,0,0,1,1,0,0,1,4,6,5,1,2,,1,0,0,0,0,1,0,0,1,1,4,5,3,4,1,1,,1,0,1,0,0,0,0,0,0,,,,,
200447,2023Q1,3,0,0,0,0,0,1,4,4,2,1,0,,1,0,0,0,0,0,1,0,0,3,5,9,5,2,2,0,,0,0,1,0,0,0,0,0,0,,,,,
444444,2023Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200617,2023Q1,0,0,0,0,0,2,2,4,6,2,2,2,,2,0,0,1,0,1,1,1,0,2,11,13,8,1,3,2,,0,0,0,1,0,0,0,0,0,,,,,
200472,2023Q1,0,0,0,0,0,0,1,1,4,8,6,9,,0,1,1,0,0,0,0,0,0,0,1,15,7,10,1,5,,3,0,2,0,0,0,0,0,0,,,,,
200147,2023Q1,0,0,0,0,0,0,4,4,4,9,6,4,,0,0,0,0,0,0,0,0,0,5,6,12,7,1,0,0,,0,1,0,0,0,0,0,0,0,,,,,
200588,2023Q1,1,0,1,0,0,0,1,7,10,10,6,6,,1,0,1,0,0,0,0,0,1,1,12,8,8,3,3,1,,2,0,1,0,0,0,0,0,0,,,,,
201698,2023Q1,2,0,0,0,0,0,0,1,5,3,2,1,,0,0,0,0,0,0,0,1,1,7,7,18,7,6,2,0,,0,0,0,0,0,0,0,0,0,,,,,
200032,2023Q1,0,0,0,0,0,0,0,0,3,7,11,8,,0,0,0,1,0,0,2,0,0,2,7,6,13,6,4,0,,4,0,0,0,0,0,0,0,0,,,,,
200615,2023Q1,2,0,0,1,0,1,1,5,13,8,8,1,,0,0,0,0,0,0,2,1,0,4,13,17,20,5,5,1,,0,2,0,1,0,0,0,0,0,,,,,
200463,2023Q1,3,0,2,0,0,0,2,9,9,9,3,1,,1,0,2,1,0,0,3,0,1,1,14,17,5,5,3,1,,1,1,0,0,0,5,0,0,0,,,,,
200604,2023Q1,1,0,1,0,0,0,2,3,2,2,4,1,,0,2,0,4,0,0,0,0,2,3,7,5,1,0,4,3,,2,0,0,0,0,0,0,0,0,,,,,
200542,2023Q1,0,0,0,0,0,0,2,1,10,4,1,1,,0,0,1,1,0,0,0,1,0,2,4,7,3,2,0,0,,0,0,0,1,0,0,0,0,0,,,,,
