Keycode,period,"TX_RTT_N_Age_Sex_HIVStatus | <1, Male, Positive","TX_RTT_N_Age_Sex_HIVStatus | 1-4, Male, Positive","TX_RTT_N_Age_Sex_HIVStatus | 5-9, Male, Positive","TX_RTT_N_Age_Sex_HIVStatus | 10-14, Male, Positive","TX_RTT_N_Age_Sex_HIVStatus | 15-19, Male, Positive","TX_RTT_N_Age_Sex_HIVStatus | 20-24, Male, Positive","TX_RTT_N_Age_Sex_HIVStatus | 25-29, Male, Positive","TX_RTT_N_Age_Sex_HIVStatus | 30-34, Male, Positive","TX_RTT_N_Age_Sex_HIVStatus | 35-39, Male, Positive","TX_RTT_N_Age_Sex_HIVStatus | 40-44, Male, Positive","TX_RTT_N_Age_Sex_HIVStatus | 45-49, Male, Positive","TX_RTT_N_Age_Sex_HIVStatus | 50+, Male, Positive","TX_RTT_N_Age_Sex_HIVStatus | 50-54, Male, Positive","TX_RTT_N_Age_Sex_HIVStatus | 55-59, Male, Positive","TX_RTT_N_Age_Sex_HIVStatus | 60-64, Male, Positive","TX_RTT_N_Age_Sex_HIVStatus | 65+, Male, Positive","TX_RTT_N_Age_Sex_HIVStatus | Unknown Age, Male, Positive","TX_RTT_N_Age_Sex_HIVStatus | <1, Female, Positive","TX_RTT_N_Age_Sex_HIVStatus | 1-4, Female, Positive","TX_RTT_N_Age_Sex_HIVStatus | 5-9, Female, Positive","TX_RTT_N_Age_Sex_HIVStatus | 10-14, Female, Positive","TX_RTT_N_Age_Sex_HIVStatus | 15-19, Female, Positive","TX_RTT_N_Age_Sex_HIVStatus | 20-24, Female, Positive","TX_RTT_N_Age_Sex_HIVStatus | 25-29, Female, Positive","TX_RTT_N_Age_Sex_HIVStatus | 30-34, Female, Positive","TX_RTT_N_Age_Sex_HIVStatus | 35-39, Female, Positive","TX_RTT_N_Age_Sex_HIVStatus | 40-44, Female, Positive","TX_RTT_N_Age_Sex_HIVStatus | 45-49, Female, Positive","TX_RTT_N_Age_Sex_HIVStatus | 50+, Female, Positive","TX_RTT_N_Age_Sex_HIVStatus | 50-54, Female, Positive","TX_RTT_N_Age_Sex_HIVStatus | 55-59, Female, Positive","TX_RTT_N_Age_Sex_HIVStatus | 60-64, Female, Positive","TX_RTT_N_Age_Sex_HIVStatus | 65+, Female, Positive","TX_RTT_N_Age_Sex_HIVStatus | Unknown Age, Female, Positive","TX_RTT_N_ARTNoContactReasonIIT_HIVStatus | IIT(<3 Months Interruption), Positive","TX_RTT_N_ARTNoContactReasonIIT_HIVStatus | IIT(3-5 Months Interruption), Positive","TX_RTT_N_ARTNoContactReasonIIT_HIVStatus | IIT(<6+ Months Interruption), Positive","TX_RTT_N_KeyPop_HIVStatus | PWID, Positive","TX_RTT_N_KeyPop_HIVStatus | MSM, Positive","TX_RTT_N_KeyPop_HIVStatus | FSW, Positive","TX_RTT_N_KeyPop_HIVStatus | People in prisons and other enclosed settings, Positive"
200499,2023Q1,0,0,0,0,1,0,3,5,4,3,5,,0,3,2,0,0,0,0,1,0,0,2,8,6,3,2,5,,2,2,0,0,0,12,16,29,0,1,0,0
340078,2023Q1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
338288,2023Q1,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0
201696,2023Q1,0,2,1,1,0,1,1,3,2,4,2,,0,0,0,0,0,0,1,1,0,0,7,7,12,8,3,2,,0,1,0,0,0,15,8,36,0,1,0,0
360175,2023Q1,0,0,0,0,0,1,2,4,1,1,0,,0,0,2,0,0,0,0,0,0,0,6,2,4,6,1,0,,0,0,0,0,0,22,8,0,0,0,1,0
200527,2023Q1,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,,1,0,0,0,0,2,0,3,0,0,0,0
200605,2023Q1,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0
200574,2023Q1,0,0,0,0,0,0,2,1,1,1,1,,1,0,0,0,0,0,0,0,0,1,1,4,4,2,3,1,,0,0,0,0,0,8,4,11,0,0,0,0
200535,2023Q1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,1,0,0,0,0,0,1,1,0,0,0,0
200462,2023Q1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
200625,2023Q1,0,1,0,0,1,0,2,2,0,0,0,,0,0,0,0,0,0,0,0,1,0,3,1,9,3,0,0,,0,1,0,1,0,16,8,1,0,0,0,0
200447,2023Q1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,1,0,0,0,0
200617,2023Q1,0,0,0,0,0,1,1,1,0,0,0,,1,0,0,0,0,0,0,1,0,0,1,0,0,2,1,0,,0,0,0,0,0,3,5,1,0,0,0,0
200472,2023Q1,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,2,0,0,0,0,0,0
200147,2023Q1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
200588,2023Q1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
