dataelement,period,orgunit,categoryoptioncombo,attributeoptioncombo,value
TjPwm5FAwoE,2022Q2,X7deWPhTiIy,FujzW8ejTb6,70212,5
TjPwm5FAwoE,2022Q2,U8feQBluEhj,FujzW8ejTb6,70212,45
TjPwm5FAwoE,2022Q2,ccixNtjWLkf,FujzW8ejTb6,70212,27
TjPwm5FAwoE,2022Q2,nvJQYEQIFFM,FujzW8ejTb6,70212,25
TjPwm5FAwoE,2022Q2,YIxt0WtezdT,FujzW8ejTb6,70212,179
TjPwm5FAwoE,2022Q2,f0WCSs2fwvv,FujzW8ejTb6,70212,31
TjPwm5FAwoE,2022Q2,XLt8l1uPicg,FujzW8ejTb6,70212,107
TjPwm5FAwoE,2022Q2,DW7NajJs9ry,FujzW8ejTb6,70212,87
TjPwm5FAwoE,2022Q2,e9NQxtBNruk,FujzW8ejTb6,70212,3
TjPwm5FAwoE,2022Q2,P91Rf8wCj7Z,FujzW8ejTb6,70212,50
TjPwm5FAwoE,2022Q2,DXrgpyCKD21,FujzW8ejTb6,70212,12
TjPwm5FAwoE,2022Q2,zFzYdXMnPoP,FujzW8ejTb6,70212,72
TjPwm5FAwoE,2022Q2,cGvhZR5kDxQ,FujzW8ejTb6,70212,13
TjPwm5FAwoE,2022Q2,dYIdx3HoWbL,FujzW8ejTb6,70212,48
TjPwm5FAwoE,2022Q2,F42k81lXXMO,FujzW8ejTb6,70212,154
TjPwm5FAwoE,2022Q2,dRcaKumSx2h,FujzW8ejTb6,70212,16
TjPwm5FAwoE,2022Q2,pthlRKVLgNp,FujzW8ejTb6,70212,26
TjPwm5FAwoE,2022Q2,n5SZuEC3O1j,FujzW8ejTb6,70212,6
TjPwm5FAwoE,2022Q2,qr4pPLTe6Ki,FujzW8ejTb6,70212,20
TjPwm5FAwoE,2022Q2,DsuExtGvONG,FujzW8ejTb6,70212,7
TjPwm5FAwoE,2022Q2,CpZyeEzz39h,FujzW8ejTb6,70212,13
TjPwm5FAwoE,2022Q2,MAtmMxsNpeZ,FujzW8ejTb6,70212,12
TjPwm5FAwoE,2022Q2,sAnH4cWV41G,FujzW8ejTb6,70212,22
TjPwm5FAwoE,2022Q2,gsIY3JD3iHh,FujzW8ejTb6,70212,15
TjPwm5FAwoE,2022Q2,t0V5NCdjdPi,FujzW8ejTb6,70212,25
TjPwm5FAwoE,2022Q2,dSuHNzaRaSf,FujzW8ejTb6,70212,4
