dataset,datim_dataelements,datim_dataelement,dataelement,shortname,code,dataelementuid,categoryoptioncombo,categoryoptioncombocode,categoryoptioncombouid,dataelementdesc
MER Results: Facility Based,"CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.","CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.-15-19, Female, Positive, Cervical Cancer Screened - First Time, Cervical Cancer - Negative","CXCA_SCRN_N_Age_Sex_HIV_Scrn_Visit | 15-19, Female, Positive, Cervical Cancer Screened - First Time, Cervical Cancer - Negative","CXCA_SCRN (N, DSD, Age/Sex/HIV/Scrn/Visit)",CXCA_SCRN_N_DSD_Age_Sex_HIV_Scrn_Visit,XboLlTkc4Av,"15-19, Female, Positive, Cervical Cancer Screened - First Time, Cervical Cancer - Negative",dh4TQ68p2SC,dh4TQ68p2SC,Number of HIV-positive women on ART screened for cervical cancer
MER Results: Facility Based,"CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.","CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.-15-19, Female, Positive, Cervical Cancer Screened - First Time, Cervical Cancer - Positive","CXCA_SCRN_N_Age_Sex_HIV_Scrn_Visit | 15-19, Female, Positive, Cervical Cancer Screened - First Time, Cervical Cancer - Positive","CXCA_SCRN (N, DSD, Age/Sex/HIV/Scrn/Visit)",CXCA_SCRN_N_DSD_Age_Sex_HIV_Scrn_Visit,XboLlTkc4Av,"15-19, Female, Positive, Cervical Cancer Screened - First Time, Cervical Cancer - Positive",fJ4uotAMsvK,fJ4uotAMsvK,Number of HIV-positive women on ART screened for cervical cancer
MER Results: Facility Based,"CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.","CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.-15-19, Female, Positive, Cervical Cancer Screened - First Time, Cervical Cancer - Suspected","CXCA_SCRN_N_Age_Sex_HIV_Scrn_Visit | 15-19, Female, Positive, Cervical Cancer Screened - First Time, Cervical Cancer - Suspected","CXCA_SCRN (N, DSD, Age/Sex/HIV/Scrn/Visit)",CXCA_SCRN_N_DSD_Age_Sex_HIV_Scrn_Visit,XboLlTkc4Av,"15-19, Female, Positive, Cervical Cancer Screened - First Time, Cervical Cancer - Suspected",nI9rG3vPWQz,nI9rG3vPWQz,Number of HIV-positive women on ART screened for cervical cancer
MER Results: Facility Based,"CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.","CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.-15-19, Female, Positive, Cervical Cancer Screened - Follow Up, Cervical Cancer - Negative","CXCA_SCRN_N_Age_Sex_HIV_Scrn_Visit | 15-19, Female, Positive, Cervical Cancer Screened - Follow Up, Cervical Cancer - Negative","CXCA_SCRN (N, DSD, Age/Sex/HIV/Scrn/Visit)",CXCA_SCRN_N_DSD_Age_Sex_HIV_Scrn_Visit,XboLlTkc4Av,"15-19, Female, Positive, Cervical Cancer Screened - Follow Up, Cervical Cancer - Negative",vTXvoz46XKy,vTXvoz46XKy,Number of HIV-positive women on ART screened for cervical cancer
MER Results: Facility Based,"CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.","CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.-15-19, Female, Positive, Cervical Cancer Screened - Follow Up, Cervical Cancer - Positive","CXCA_SCRN_N_Age_Sex_HIV_Scrn_Visit | 15-19, Female, Positive, Cervical Cancer Screened - Follow Up, Cervical Cancer - Positive","CXCA_SCRN (N, DSD, Age/Sex/HIV/Scrn/Visit)",CXCA_SCRN_N_DSD_Age_Sex_HIV_Scrn_Visit,XboLlTkc4Av,"15-19, Female, Positive, Cervical Cancer Screened - Follow Up, Cervical Cancer - Positive",FNkgb5PwxEL,FNkgb5PwxEL,Number of HIV-positive women on ART screened for cervical cancer
MER Results: Facility Based,"CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.","CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.-15-19, Female, Positive, Cervical Cancer Screened - Follow Up, Cervical Cancer - Suspected","CXCA_SCRN_N_Age_Sex_HIV_Scrn_Visit | 15-19, Female, Positive, Cervical Cancer Screened - Follow Up, Cervical Cancer - Suspected","CXCA_SCRN (N, DSD, Age/Sex/HIV/Scrn/Visit)",CXCA_SCRN_N_DSD_Age_Sex_HIV_Scrn_Visit,XboLlTkc4Av,"15-19, Female, Positive, Cervical Cancer Screened - Follow Up, Cervical Cancer - Suspected",wIDT7S8yul9,wIDT7S8yul9,Number of HIV-positive women on ART screened for cervical cancer
MER Results: Facility Based,"CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.","CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.-15-19, Female, Positive, Cervical Cancer Screened - Rescreened, Cervical Cancer - Negative","CXCA_SCRN_N_Age_Sex_HIV_Scrn_Visit | 15-19, Female, Positive, Cervical Cancer Screened - Rescreened, Cervical Cancer - Negative","CXCA_SCRN (N, DSD, Age/Sex/HIV/Scrn/Visit)",CXCA_SCRN_N_DSD_Age_Sex_HIV_Scrn_Visit,XboLlTkc4Av,"15-19, Female, Positive, Cervical Cancer Screened - Rescreened, Cervical Cancer - Negative",d5py8JDlLGK,d5py8JDlLGK,Number of HIV-positive women on ART screened for cervical cancer
MER Results: Facility Based,"CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.","CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.-15-19, Female, Positive, Cervical Cancer Screened - Rescreened, Cervical Cancer - Positive","CXCA_SCRN_N_Age_Sex_HIV_Scrn_Visit | 15-19, Female, Positive, Cervical Cancer Screened - Rescreened, Cervical Cancer - Positive","CXCA_SCRN (N, DSD, Age/Sex/HIV/Scrn/Visit)",CXCA_SCRN_N_DSD_Age_Sex_HIV_Scrn_Visit,XboLlTkc4Av,"15-19, Female, Positive, Cervical Cancer Screened - Rescreened, Cervical Cancer - Positive",BvS7Re5cqaR,BvS7Re5cqaR,Number of HIV-positive women on ART screened for cervical cancer
MER Results: Facility Based,"CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.","CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.-15-19, Female, Positive, Cervical Cancer Screened - Rescreened, Cervical Cancer - Suspected","CXCA_SCRN_N_Age_Sex_HIV_Scrn_Visit | 15-19, Female, Positive, Cervical Cancer Screened - Rescreened, Cervical Cancer - Suspected","CXCA_SCRN (N, DSD, Age/Sex/HIV/Scrn/Visit)",CXCA_SCRN_N_DSD_Age_Sex_HIV_Scrn_Visit,XboLlTkc4Av,"15-19, Female, Positive, Cervical Cancer Screened - Rescreened, Cervical Cancer - Suspected",cd8dhsMl4u8,cd8dhsMl4u8,Number of HIV-positive women on ART screened for cervical cancer
MER Results: Facility Based,"CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.","CXCA_SCRN (N, DSD, Age/Sex/HIVStatus/ScreenResult/ScreenVisitType): On ART screened for cervical cancer.-20-24, Female, Positive, Cervical Cancer Screened - First Time, Cervical Cancer - Negative","CXCA_SCRN_N_Age_Sex_HIV_Scrn_Visit | 20-24, Female, Positive, Cervical Cancer Screened - First Time, Cervical Cancer - Negative","CXCA_SCRN (N, DSD, Age/Sex/HIV/Scrn/Visit)",CXCA_SCRN_N_DSD_Age_Sex_HIV_Scrn_Visit,XboLlTkc4Av,"20-24, Female, Positive, Cervical Cancer Screened - First Time, Cervical Cancer - Negative",pdCeAB4EYYM,pdCeAB4EYYM,Number of HIV-positive women on ART screened for cervical cancer
