Keycode,period,orgunitlevel2,orgunitlevel3,dhis_organisationunitid,dhis_organisationunitname,datim_organisationunitid,datim_organisationunitname,dataelement,value
201110,2023Q1,Tete,Changara,DPpYRj17uV1,CS Dzunga,X7deWPhTiIy,Dzunga CS,"TX_RTT_N_Age_Sex_HIVStatus | <1, Male, Positive",0.0
200463,2023Q1,Tete,Changara,L62WV6AxXbu,CS Changara Sede,U8feQBluEhj,Changara CS,"TX_RTT_N_Age_Sex_HIVStatus | <1, Male, Positive",0.0
200464,2023Q1,Tete,Changara,vI8pjj6mcAu,CS Missaua,ccixNtjWLkf,M'Saua  CS,"TX_RTT_N_Age_Sex_HIVStatus | <1, Male, Positive",0.0
200479,2023Q1,Tete,Changara,Toljlj09adn,CS Mazoe,nvJQYEQIFFM,Mazoe Ponte CS,"TX_RTT_N_Age_Sex_HIVStatus | <1, Male, Positive",0.0
200494,2023Q1,Tete,Cidade de Tete,BEIqK4935Si,CS NÂº 2 ,YIxt0WtezdT,Nº 2 - Bairro Matundo CS,"TX_RTT_N_Age_Sex_HIVStatus | <1, Male, Positive",0.0
200491,2023Q1,Tete,Cidade de Tete,CjbDec4FkeU,CS Mpadue,f0WCSs2fwvv,Mpadue CS,"TX_RTT_N_Age_Sex_HIVStatus | <1, Male, Positive",0.0
201851,2023Q1,Tete,Cidade de Tete,ris2tuYoYtW,CS NÂº 3 ,XLt8l1uPicg,Nº 3 - Bairro Manyanga CS,"TX_RTT_N_Age_Sex_HIVStatus | <1, Male, Positive",0.0
200457,2023Q1,Tete,Cidade de Tete,LoiUO8sLgRA,CS NÂº 4 ,DW7NajJs9ry,Nº 4 - Bairro Muthemba CS,"TX_RTT_N_Age_Sex_HIVStatus | <1, Male, Positive",0.0
200957,2023Q1,Tete,Cidade de Tete,cXKrZBbUhrD,HP Tete,e9NQxtBNruk,Tete HP,"TX_RTT_N_Age_Sex_HIVStatus | <1, Male, Positive",0.0
200481,2023Q1,Tete,Cidade de Tete,RxiHBnSddHb,CS NÂº 1 ,P91Rf8wCj7Z,Nº 1 - Bairro Magaia CS,"TX_RTT_N_Age_Sex_HIVStatus | <1, Male, Positive",0.0
200475,2023Q1,Tete,Mutarara,XV1d4AS1A7z,CS Inhangoma,DXrgpyCKD21,Inhangoma CS,"TX_RTT_N_Age_Sex_HIVStatus | <1, Male, Positive",0.0
201869,2023Q1,Tete,Mutarara,jrv5B2suUiV,HR Mutarara,zFzYdXMnPoP,Mutarara HR,"TX_RTT_N_Age_Sex_HIVStatus | <1, Male, Positive",0.0
340078,2023Q1,Tete,Moatize,GpVP3Er8tHH,CS 25 de Setembro,cGvhZR5kDxQ,25 de Setembro CS,"TX_RTT_N_Age_Sex_HIVStatus | <1, Male, Positive",0.0
200471,2023Q1,Tete,Moatize,xIElA3ybQ9K,CS ZÃ³bue,dYIdx3HoWbL,Zobue CS,"TX_RTT_N_Age_Sex_HIVStatus | <1, Male, Positive",0.0
200460,2023Q1,Tete,Moatize,K3zTWxyKzE5,CS Moatize,F42k81lXXMO,Moatize CS,"TX_RTT_N_Age_Sex_HIVStatus | <1, Male, Positive",0.0
200472,2023Q1,Tete,Moatize,eeXvku5d78S,CS Caphirizange,dRcaKumSx2h,Caphirizange PS,"TX_RTT_N_Age_Sex_HIVStatus | <1, Male, Positive",0.0
201698,2023Q1,Tete,Moatize,EqSs8Eh9tZl,CS CFM,pthlRKVLgNp,CFM CS,"TX_RTT_N_Age_Sex_HIVStatus | <1, Male, Positive",0.0
200451,2023Q1,Tete,Moatize,eydYBmar8my,CS Ncondedzi,n5SZuEC3O1j,Ncondezi CS,"TX_RTT_N_Age_Sex_HIVStatus | <1, Male, Positive",0.0
200147,2023Q1,Tete,Moatize,HMVJTsa8OXT,CS Cateme,qr4pPLTe6Ki,Cateme CS,"TX_RTT_N_Age_Sex_HIVStatus | <1, Male, Positive",0.0
200484,2023Q1,Tete,Moatize,RHvxT0kh778,CS Mameme II,DsuExtGvONG,Mameme II CS,"TX_RTT_N_Age_Sex_HIVStatus | <1, Male, Positive",0.0
