Keycode,orgunitlevel2,orgunitlevel3,dhis_organisationunitid,dhis_organisationunitname,datim_organisationunitid,datim_organisationunitname,period,"echo_TX_CURR_N_Age_Sex_HIVStatus | <1, Male, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 1-4, Male, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 5-9, Male, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 10-14, Male, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 15-19, Male, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 20-24, Male, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 25-29, Male, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 30-34, Male, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 35-39, Male, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 40-44, Male, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 45-49, Male, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 50+, Male, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 50-54, Male, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 55-59, Male, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 60-64, Male, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 65+, Male, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | Unknown Age, Male, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | <1, Female, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 1-4, Female, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 5-9, Female, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 10-14, Female, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 15-19, Female, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 20-24, Female, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 25-29, Female, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 30-34, Female, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 35-39, Female, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 40-44, Female, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 45-49, Female, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 50+, Female, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 50-54, Female, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 55-59, Female, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 60-64, Female, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | 65+, Female, Positive","echo_TX_CURR_N_Age_Sex_HIVStatus | Unknown Age, Female, Positive","echo_TX_CURR_N_KeyPop_HIVStatus | FSW, Positive","echo_TX_CURR_N_KeyPop_HIVStatus | MSM, Positive","echo_TX_CURR_N_KeyPop_HIVStatus | PWID, Positive","echo_TX_CURR_N_KeyPop_HIVStatus | People in prisons and other enclosed settings, Positive","echo_TX_CURR_N_Age_Sex_ARVDispense_HIVStatus | 15+, Female, ARV Dispensing Quantity - Less than 3 months, Positive","echo_TX_CURR_N_Age_Sex_ARVDispense_HIVStatus | 15+, Male, ARV Dispensing Quantity - Less than 3 months, Positive","echo_TX_CURR_N_Age_Sex_ARVDispense_HIVStatus | <15, Female, ARV Dispensing Quantity - Less than 3 months, Positive","echo_TX_CURR_N_Age_Sex_ARVDispense_HIVStatus | <15, Male, ARV Dispensing Quantity - Less than 3 months, Positive","echo_TX_CURR_N_Age_Sex_ARVDispense_HIVStatus | Unknown Age, Female, ARV Dispensing Quantity - Less than 3 months, Positive","echo_TX_CURR_N_Age_Sex_ARVDispense_HIVStatus | Unknown Age, Male, ARV Dispensing Quantity - Less than 3 months, Positive","echo_TX_CURR_N_Age_Sex_ARVDispense_HIVStatus | 15+, Female, ARV Dispensing Quantity - 3 to 5 months, Positive","echo_TX_CURR_N_Age_Sex_ARVDispense_HIVStatus | 15+, Male, ARV Dispensing Quantity - 3 to 5 months, Positive","echo_TX_CURR_N_Age_Sex_ARVDispense_HIVStatus | <15, Female, ARV Dispensing Quantity - 3 to 5 months, Positive","echo_TX_CURR_N_Age_Sex_ARVDispense_HIVStatus | <15, Male, ARV Dispensing Quantity - 3 to 5 months, Positive","echo_TX_CURR_N_Age_Sex_ARVDispense_HIVStatus | Unknown Age, Female, ARV Dispensing Quantity - 3 to 5 months, Positive","echo_TX_CURR_N_Age_Sex_ARVDispense_HIVStatus | Unknown Age, Male, ARV Dispensing Quantity - 3 to 5 months, Positive","echo_TX_CURR_N_Age_Sex_ARVDispense_HIVStatus | 15+, Female, ARV Dispensing Quantity - 6 or more months, Positive","echo_TX_CURR_N_Age_Sex_ARVDispense_HIVStatus | 15+, Male, ARV Dispensing Quantity - 6 or more months, Positive","echo_TX_CURR_N_Age_Sex_ARVDispense_HIVStatus | <15, Female, ARV Dispensing Quantity - 6 or more months, Positive","echo_TX_CURR_N_Age_Sex_ARVDispense_HIVStatus | <15, Male, ARV Dispensing Quantity - 6 or more months, Positive","echo_TX_CURR_N_Age_Sex_ARVDispense_HIVStatus | Unknown Age, Female, ARV Dispensing Quantity - 6 or more months, Positive","echo_TX_CURR_N_Age_Sex_ARVDispense_HIVStatus | Unknown Age, Male, ARV Dispensing Quantity - 6 or more months, Positive",_merge
201110,Tete,Changara,DPpYRj17uV1,CS Dzunga,X7deWPhTiIy,Dzunga CS,2023Q1,0.0,3.0,6.0,8.0,7.0,9.0,32.0,57.0,88.0,95.0,37.0,,17.0,18.0,7.0,5.0,0.0,0.0,1.0,5.0,11.0,20.0,57.0,92.0,162.0,93.0,58.0,30.0,,24.0,14.0,13.0,5.0,0.0,53.0,0.0,0.0,0.0,139.0,38.0,8.0,7.0,0.0,0.0,427.0,334.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,both
200463,Tete,Changara,L62WV6AxXbu,CS Changara Sede,U8feQBluEhj,Changara CS,2023Q1,0.0,7.0,25.0,28.0,14.0,34.0,142.0,213.0,241.0,206.0,128.0,,83.0,32.0,30.0,24.0,0.0,1.0,15.0,26.0,29.0,27.0,186.0,443.0,448.0,322.0,228.0,141.0,,73.0,66.0,20.0,28.0,0.0,181.0,0.0,0.0,10.0,459.0,147.0,33.0,38.0,0.0,0.0,1522.0,1000.0,38.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,both
200464,Tete,Changara,vI8pjj6mcAu,CS Missaua,ccixNtjWLkf,M'Saua  CS,2023Q1,0.0,5.0,9.0,14.0,10.0,17.0,49.0,64.0,72.0,49.0,37.0,,17.0,22.0,12.0,12.0,0.0,1.0,8.0,10.0,11.0,23.0,90.0,118.0,127.0,85.0,66.0,51.0,,39.0,11.0,11.0,14.0,0.0,0.0,0.0,0.0,0.0,191.0,74.0,6.0,1.0,0.0,0.0,444.0,287.0,24.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,both
200479,Tete,Changara,Toljlj09adn,CS Mazoe,nvJQYEQIFFM,Mazoe Ponte CS,2023Q1,1.0,6.0,11.0,5.0,9.0,15.0,39.0,88.0,79.0,80.0,64.0,,34.0,18.0,13.0,18.0,0.0,1.0,1.0,10.0,13.0,23.0,95.0,159.0,178.0,151.0,96.0,56.0,,37.0,22.0,26.0,24.0,0.0,60.0,0.0,0.0,0.0,330.0,136.0,12.0,10.0,0.0,0.0,537.0,321.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,both
200494,Tete,Cidade de Tete,BEIqK4935Si,CS NÂº 2 ,YIxt0WtezdT,Nº 2 - Bairro Matundo CS,2023Q1,6.0,51.0,74.0,61.0,76.0,177.0,377.0,623.0,821.0,769.0,449.0,,289.0,197.0,102.0,86.0,0.0,5.0,49.0,85.0,99.0,159.0,786.0,1584.0,1707.0,1417.0,953.0,530.0,,299.0,179.0,91.0,67.0,0.0,464.0,117.0,3.0,0.0,1693.0,501.0,24.0,21.0,0.0,0.0,3838.0,2220.0,174.0,151.0,0.0,0.0,2193.0,1232.0,30.0,17.0,0.0,0.0,both
200491,Tete,Cidade de Tete,CjbDec4FkeU,CS Mpadue,f0WCSs2fwvv,Mpadue CS,2023Q1,1.0,4.0,14.0,8.0,5.0,30.0,93.0,182.0,206.0,182.0,85.0,,40.0,27.0,17.0,18.0,0.0,0.0,9.0,17.0,9.0,45.0,209.0,339.0,360.0,255.0,153.0,75.0,,27.0,30.0,11.0,6.0,0.0,6.0,1.0,0.0,0.0,292.0,76.0,14.0,8.0,0.0,0.0,1215.0,809.0,20.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,both
201851,Tete,Cidade de Tete,ris2tuYoYtW,CS NÂº 3 ,XLt8l1uPicg,Nº 3 - Bairro Manyanga CS,2023Q1,1.0,18.0,48.0,60.0,50.0,108.0,282.0,476.0,571.0,492.0,370.0,,213.0,154.0,97.0,81.0,0.0,2.0,17.0,48.0,65.0,110.0,496.0,1105.0,1067.0,985.0,659.0,442.0,,252.0,157.0,70.0,50.0,0.0,152.0,181.0,0.0,2.0,944.0,331.0,25.0,33.0,0.0,0.0,1939.0,1143.0,70.0,55.0,0.0,0.0,2498.0,1418.0,37.0,39.0,0.0,0.0,both
200457,Tete,Cidade de Tete,LoiUO8sLgRA,CS NÂº 4 ,DW7NajJs9ry,Nº 4 - Bairro Muthemba CS,2023Q1,1.0,12.0,36.0,44.0,29.0,87.0,234.0,429.0,516.0,444.0,210.0,,152.0,88.0,52.0,48.0,0.0,2.0,27.0,39.0,53.0,109.0,472.0,844.0,866.0,753.0,488.0,285.0,,165.0,112.0,60.0,33.0,0.0,109.0,13.0,0.0,1.0,1049.0,339.0,48.0,38.0,0.0,0.0,1704.0,1104.0,56.0,47.0,0.0,0.0,1422.0,844.0,15.0,7.0,0.0,0.0,both
200957,Tete,Cidade de Tete,cXKrZBbUhrD,HP Tete,e9NQxtBNruk,Tete HP,2023Q1,0.0,3.0,3.0,2.0,4.0,11.0,11.0,31.0,55.0,74.0,65.0,,45.0,43.0,19.0,17.0,0.0,0.0,1.0,5.0,3.0,12.0,32.0,34.0,47.0,69.0,90.0,55.0,,57.0,29.0,22.0,9.0,0.0,0.0,1.0,0.0,0.0,42.0,28.0,3.0,2.0,0.0,0.0,412.0,346.0,6.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,both
200481,Tete,Cidade de Tete,RxiHBnSddHb,CS NÂº 1 ,P91Rf8wCj7Z,Nº 1 - Bairro Magaia CS,2023Q1,2.0,10.0,25.0,32.0,33.0,53.0,112.0,268.0,348.0,373.0,208.0,,109.0,83.0,54.0,52.0,0.0,1.0,5.0,20.0,24.0,55.0,199.0,495.0,698.0,724.0,526.0,242.0,,159.0,100.0,48.0,31.0,0.0,10.0,1.0,0.0,0.0,797.0,244.0,6.0,10.0,0.0,0.0,1090.0,692.0,36.0,55.0,0.0,0.0,1388.0,757.0,8.0,4.0,0.0,0.0,both
